Wall time,Step,Value
1563708134.4378026,20,-24.163944244384766
1563708134.6041522,40,-25.196338653564453
1563708134.7684476,60,-25.472169876098633
1563708134.931678,80,-25.640119552612305
1563708135.0972059,100,-25.701679229736328
1563708135.2621398,120,-25.7685489654541
1563708135.4274504,140,-25.782434463500977
1563708135.5921187,160,-25.793094635009766
1563708135.755996,180,-25.79414176940918
1563708135.927433,200,-25.783660888671875
1563708136.0925777,220,-25.770095825195312
1563708136.2557192,240,-25.76515769958496
1563708136.4205735,260,-25.750699996948242
1563708136.58389,280,-25.740636825561523
1563708136.74664,300,-25.741628646850586
1563708136.9102695,320,-25.726749420166016
1563708137.0756361,340,-25.707008361816406
1563708137.2391574,360,-25.70719337463379
1563708137.4046018,380,-25.695098876953125
1563708137.5725453,400,-25.681629180908203
1563708137.7390172,420,-25.674560546875
1563708137.9009387,440,-25.669677734375
1563708138.068405,460,-25.661874771118164
1563708138.2306194,480,-25.655773162841797
1563708138.394318,500,-25.649255752563477
1563708138.5553458,520,-25.653430938720703
1563708138.7182012,540,-25.64452362060547
1563708138.8803651,560,-25.641311645507812
1563708139.0472064,580,-25.634098052978516
1563708139.2099214,600,-25.63296890258789
1563708139.3753097,620,-25.627239227294922
1563708139.539118,640,-25.631240844726562
1563708139.7017753,660,-25.62589454650879
1563708139.8632805,680,-25.625608444213867
1563708140.026128,700,-25.62389373779297
1563708140.190482,720,-25.618885040283203
1563708140.35378,740,-25.620807647705078
1563708140.5199852,760,-25.617910385131836
1563708140.684799,780,-25.615503311157227
1563708140.8498843,800,-25.61135482788086
1563708141.0138133,820,-25.612815856933594
1563708141.1776783,840,-25.60974884033203
1563708141.3419201,860,-25.612239837646484
1563708141.5053542,880,-25.608131408691406
1563708141.6694732,900,-25.608335494995117
1563708141.831429,920,-25.60653305053711
1563708141.9947412,940,-25.605499267578125
1563708142.1593359,960,-25.605443954467773
1563708142.3230774,980,-25.604413986206055
1563708142.48914,1000,-25.60251235961914
1563708142.6502078,1020,-25.603017807006836
1563708142.809992,1040,-25.60260009765625
1563708142.9690897,1060,-25.601938247680664
1563708143.1296802,1080,-25.602983474731445
