Wall time,Step,Value
1563708134.4320166,20,-95.7986831665039
1563708134.5984907,40,-117.17010498046875
1563708134.7628446,60,-134.12106323242188
1563708134.9260361,80,-146.08328247070312
1563708135.0916612,100,-154.89901733398438
1563708135.2564943,120,-161.89407348632812
1563708135.421927,140,-167.8300323486328
1563708135.5859728,160,-172.47796630859375
1563708135.7504272,180,-176.3192138671875
1563708135.9187615,200,-179.42230224609375
1563708136.0870416,220,-182.00830078125
1563708136.2501438,240,-184.28781127929688
1563708136.4149387,260,-186.2110137939453
1563708136.578327,280,-188.22128295898438
1563708136.7409892,300,-189.5330352783203
1563708136.904576,320,-190.8190155029297
1563708137.0699718,340,-192.15936279296875
1563708137.233551,360,-193.28343200683594
1563708137.398816,380,-194.42800903320312
1563708137.5668185,400,-195.2019500732422
1563708137.733269,420,-195.93453979492188
1563708137.8953319,440,-196.7213134765625
1563708138.06212,460,-197.49783325195312
1563708138.2249615,480,-198.2111053466797
1563708138.3886335,500,-198.80093383789062
1563708138.5497344,520,-199.4205322265625
1563708138.7126095,540,-199.8476104736328
1563708138.874846,560,-200.4051971435547
1563708139.041641,580,-200.99920654296875
1563708139.20436,600,-201.4808349609375
1563708139.3697984,620,-201.92416381835938
1563708139.5331209,640,-202.33375549316406
1563708139.696218,660,-202.6930389404297
1563708139.8576765,680,-202.99388122558594
1563708140.0205612,700,-203.36801147460938
1563708140.1848185,720,-203.57789611816406
1563708140.3482277,740,-203.88528442382812
1563708140.5142388,760,-204.11988830566406
1563708140.6790857,780,-204.3557891845703
1563708140.844344,800,-204.5233917236328
1563708141.008156,820,-204.72291564941406
1563708141.1721177,840,-205.01736450195312
1563708141.3361306,860,-205.3155517578125
1563708141.4997237,880,-205.50950622558594
1563708141.6639485,900,-205.6934051513672
1563708141.8258514,920,-205.79824829101562
1563708141.989208,940,-206.06263732910156
1563708142.1537192,960,-206.26951599121094
1563708142.316993,980,-206.42776489257812
1563708142.482804,1000,-206.5447540283203
1563708142.6444557,1020,-206.66600036621094
1563708142.804284,1040,-206.83084106445312
1563708142.963524,1060,-206.9165496826172
1563708143.1239734,1080,-207.093505859375
1563708143.2865758,1100,-207.2798614501953
1563708143.4523354,1120,-207.4107208251953
1563708143.6159682,1140,-207.54953002929688
1563708143.814193,1160,-207.64825439453125
1563708143.9881666,1180,-207.7017822265625
1563708144.1544008,1200,-207.79286193847656
1563708144.317642,1220,-207.86363220214844
1563708144.478447,1240,-207.99789428710938
1563708144.6425705,1260,-208.0650634765625
1563708144.8047411,1280,-208.1532745361328
1563708144.9671865,1300,-208.23936462402344
1563708145.131479,1320,-208.36392211914062
1563708145.2979267,1340,-208.41815185546875
1563708145.4600074,1360,-208.50308227539062
1563708145.6224046,1380,-208.59071350097656
1563708145.7861474,1400,-208.68492126464844
1563708145.9512117,1420,-208.75347900390625
1563708146.116482,1440,-208.84811401367188
1563708146.2814622,1460,-208.94277954101562
1563708146.4430642,1480,-208.98345947265625
1563708146.605374,1500,-209.05960083007812
1563708146.7709134,1520,-209.20838928222656
1563708146.935995,1540,-209.27565002441406
1563708147.0972662,1560,-209.332763671875
1563708147.2599688,1580,-209.4086456298828
1563708147.419962,1600,-209.5103759765625
1563708147.584418,1620,-209.6024627685547
1563708147.746388,1640,-209.67185974121094
1563708147.9088824,1660,-209.733154296875
1563708148.0721233,1680,-209.7441864013672
1563708148.2333817,1700,-209.80035400390625
1563708148.3949938,1720,-209.88148498535156
1563708148.5561817,1740,-209.9152069091797
1563708148.7192101,1760,-209.98245239257812
1563708148.8825467,1780,-210.04530334472656
1563708149.045741,1800,-210.07894897460938
1563708149.2093313,1820,-210.11428833007812
1563708149.367914,1840,-210.15687561035156
1563708149.529596,1860,-210.19554138183594
1563708149.6917768,1880,-210.25146484375
1563708149.853823,1900,-210.28672790527344
1563708150.015193,1920,-210.27828979492188
1563708150.1771402,1940,-210.3463134765625
1563708150.339448,1960,-210.37966918945312
1563708150.5013459,1980,-210.4261474609375
1563708150.6632679,2000,-210.43588256835938
1563708150.824655,2020,-210.4600067138672
1563708150.9839542,2040,-210.51962280273438
1563708151.1469414,2060,-210.5400390625
1563708151.3069313,2080,-210.6085205078125
1563708151.4676306,2100,-210.6475067138672
1563708151.6271906,2120,-210.7129669189453
1563708151.7883563,2140,-210.74594116210938
1563708151.9495354,2160,-210.81524658203125
1563708152.110993,2180,-210.84840393066406
1563708152.2711637,2200,-210.873779296875
1563708152.432864,2220,-210.9308624267578
1563708152.5945134,2240,-210.9703369140625
1563708152.7579143,2260,-210.99534606933594
1563708152.9178865,2280,-211.02651977539062
1563708153.079865,2300,-211.0523223876953
1563708153.2398698,2320,-211.0975341796875
1563708153.4004972,2340,-211.12684631347656
1563708153.5605054,2360,-211.15670776367188
1563708153.7207358,2380,-211.1935272216797
1563708153.8824947,2400,-211.22628784179688
1563708154.076565,2420,-211.24497985839844
1563708154.2527955,2440,-211.25491333007812
1563708154.4179482,2460,-211.26429748535156
1563708154.5811222,2480,-211.29493713378906
1563708154.7425833,2500,-211.33058166503906
1563708154.904143,2520,-211.37820434570312
1563708155.065202,2540,-211.42633056640625
1563708155.22913,2560,-211.46951293945312
1563708155.3904884,2580,-211.5105743408203
1563708155.5519092,2600,-211.5424041748047
1563708155.7144692,2620,-211.55307006835938
1563708155.8773785,2640,-211.57118225097656
1563708156.0398717,2660,-211.5926055908203
1563708156.205887,2680,-211.59280395507812
1563708156.3690865,2700,-211.61819458007812
1563708156.532541,2720,-211.63365173339844
1563708156.69623,2740,-211.6726837158203
1563708156.8564575,2760,-211.70440673828125
1563708157.0164733,2780,-211.72898864746094
1563708157.178383,2800,-211.73081970214844
1563708157.3394403,2820,-211.75070190429688
1563708157.5017507,2840,-211.77122497558594
1563708157.6656494,2860,-211.78738403320312
1563708157.8261604,2880,-211.8194580078125
1563708157.9889195,2900,-211.86306762695312
1563708158.14862,2920,-211.86268615722656
1563708158.3114936,2940,-211.8600616455078
1563708158.4718094,2960,-211.87847900390625
1563708158.633339,2980,-211.90199279785156
1563708158.7935398,3000,-211.91566467285156
1563708158.957743,3020,-211.93484497070312
1563708159.1202345,3040,-211.95330810546875
1563708159.2816172,3060,-211.9829864501953
1563708159.4432719,3080,-211.9984130859375
1563708159.602662,3100,-212.02752685546875
1563708159.7633338,3120,-212.04376220703125
1563708159.9218285,3140,-212.05999755859375
1563708160.08424,3160,-212.0731964111328
1563708160.2468402,3180,-212.0912628173828
1563708160.4167962,3200,-212.0870361328125
1563708160.5800197,3220,-212.09371948242188
1563708160.7419906,3240,-212.11509704589844
1563708160.905018,3260,-212.11846923828125
1563708161.0663517,3280,-212.13381958007812
1563708161.229658,3300,-212.1435546875
1563708161.3915093,3320,-212.17929077148438
1563708161.551055,3340,-212.192138671875
1563708161.711662,3360,-212.19326782226562
1563708161.8710864,3380,-212.19642639160156
1563708162.032113,3400,-212.20034790039062
1563708162.1931653,3420,-212.2416229248047
1563708162.3540027,3440,-212.25526428222656
1563708162.5139327,3460,-212.27320861816406
1563708162.6757002,3480,-212.27989196777344
1563708162.836593,3500,-212.31478881835938
1563708162.997899,3520,-212.31997680664062
1563708163.1630676,3540,-212.34780883789062
1563708163.3240912,3560,-212.3553466796875
1563708163.4883935,3580,-212.37814331054688
1563708163.6513662,3600,-212.39404296875
1563708163.815615,3620,-212.41128540039062
1563708163.980678,3640,-212.42405700683594
1563708164.141032,3660,-212.42935180664062
1563708164.3303387,3680,-212.44065856933594
1563708164.5051126,3700,-212.43434143066406
1563708164.6707134,3720,-212.4581756591797
1563708164.8325927,3740,-212.46038818359375
1563708164.9975302,3760,-212.46726989746094
1563708165.1614678,3780,-212.48464965820312
1563708165.3225052,3800,-212.4827423095703
1563708165.48709,3820,-212.49378967285156
1563708165.6516004,3840,-212.51776123046875
1563708165.8147457,3860,-212.5124969482422
1563708165.9803581,3880,-212.5360565185547
1563708166.1469088,3900,-212.5382080078125
1563708166.3132057,3920,-212.54043579101562
1563708166.4755464,3940,-212.5683135986328
1563708166.6385465,3960,-212.5837860107422
1563708166.802535,3980,-212.59449768066406
1563708166.9659936,4000,-212.60787963867188
1563708167.131843,4020,-212.61448669433594
1563708167.2951362,4040,-212.6182098388672
1563708167.4606016,4060,-212.62588500976562
1563708167.6253784,4080,-212.63262939453125
1563708167.7865777,4100,-212.65213012695312
1563708167.9475212,4120,-212.6514129638672
1563708168.1070533,4140,-212.6435089111328
1563708168.2709942,4160,-212.65707397460938
1563708168.4318354,4180,-212.65631103515625
1563708168.5960746,4200,-212.6709747314453
1563708168.7600613,4220,-212.68125915527344
1563708168.9220831,4240,-212.6940460205078
1563708169.086786,4260,-212.70111083984375
1563708169.2488465,4280,-212.70034790039062
1563708169.4094853,4300,-212.72998046875
1563708169.570647,4320,-212.7383270263672
1563708169.7345421,4340,-212.73263549804688
1563708169.899226,4360,-212.75367736816406
1563708170.0614963,4380,-212.77366638183594
1563708170.2231894,4400,-212.7765655517578
1563708170.38859,4420,-212.7842559814453
1563708170.552291,4440,-212.7833251953125
1563708170.7139626,4460,-212.7932586669922
1563708170.877731,4480,-212.79888916015625
1563708171.0471056,4500,-212.7924346923828
1563708171.2110097,4520,-212.79736328125
1563708171.3725386,4540,-212.8040771484375
1563708171.5352297,4560,-212.82330322265625
1563708171.6993163,4580,-212.82447814941406
1563708171.8623397,4600,-212.84373474121094
1563708172.0234058,4620,-212.85662841796875
1563708172.183126,4640,-212.86341857910156
1563708172.347185,4660,-212.86473083496094
1563708172.5091047,4680,-212.88304138183594
1563708172.6687639,4700,-212.87994384765625
1563708172.8295414,4720,-212.87196350097656
1563708172.9959285,4740,-212.8828125
1563708173.1623905,4760,-212.88623046875
1563708173.3261054,4780,-212.897216796875
1563708173.4899354,4800,-212.90135192871094
1563708173.6544354,4820,-212.89495849609375
1563708173.8205917,4840,-212.9051971435547
1563708173.9840796,4860,-212.92007446289062
1563708174.1534493,4880,-212.93539428710938
1563708174.3158221,4900,-212.94187927246094
1563708174.5057042,4920,-212.95416259765625
1563708174.6906233,4940,-212.95950317382812
1563708174.8551774,4960,-212.9695281982422
1563708175.0197115,4980,-212.974365234375
1563708175.1872773,5000,-212.97442626953125
1563708175.3522027,5020,-212.99330139160156
1563708175.5149326,5040,-213.00228881835938
1563708175.676695,5060,-213.01487731933594
1563708175.8422403,5080,-213.0283660888672
1563708176.002372,5100,-213.03033447265625
1563708176.162966,5120,-213.03640747070312
1563708176.3233676,5140,-213.03890991210938
1563708176.4852,5160,-213.0585479736328
1563708176.6469803,5180,-213.05441284179688
1563708176.8083687,5200,-213.05886840820312
1563708176.9720016,5220,-213.063720703125
1563708177.1345541,5240,-213.0659637451172
1563708177.3002212,5260,-213.06809997558594
1563708177.4627092,5280,-213.06942749023438
1563708177.622463,5300,-213.07411193847656
1563708177.7856627,5320,-213.08213806152344
1563708177.9488637,5340,-213.09947204589844
1563708178.111147,5360,-213.09996032714844
1563708178.2750654,5380,-213.1145477294922
1563708178.4387057,5400,-213.1137237548828
1563708178.606128,5420,-213.1177520751953
1563708178.7309322,5440,-213.11581420898438
1563708178.8527253,5460,-213.1311492919922
1563708178.9776769,5480,-213.1338653564453
1563708179.1019566,5500,-213.1284942626953
1563708179.228382,5520,-213.14671325683594
1563708179.3518062,5540,-213.14730834960938
1563708179.4746761,5560,-213.15725708007812
1563708179.59926,5580,-213.16159057617188
1563708179.7247243,5600,-213.17108154296875
1563708179.8515167,5620,-213.18138122558594
1563708179.9747715,5640,-213.1945037841797
1563708180.129433,5660,-213.2003936767578
1563708180.2956352,5680,-213.20553588867188
1563708180.4627435,5700,-213.2074737548828
1563708180.6261194,5720,-213.2111053466797
1563708180.7924368,5740,-213.21585083007812
1563708180.9569602,5760,-213.22506713867188
1563708181.120595,5780,-213.22494506835938
1563708181.2823436,5800,-213.23434448242188
1563708181.4443786,5820,-213.24127197265625
1563708181.6092792,5840,-213.24240112304688
1563708181.777538,5860,-213.24522399902344
1563708181.9876866,5880,-213.24830627441406
1563708182.146442,5900,-213.25523376464844
1563708182.31128,5920,-213.26449584960938
1563708182.4737232,5940,-213.26547241210938
1563708182.6361158,5960,-213.27174377441406
1563708182.7989016,5980,-213.268310546875
1563708182.9603426,6000,-213.2689208984375
1563708183.123414,6020,-213.2721405029297
1563708183.2917001,6040,-213.27960205078125
1563708183.4560068,6060,-213.2873077392578
1563708183.6194496,6080,-213.2970733642578
1563708183.7809727,6100,-213.3042449951172
1563708183.9422705,6120,-213.30853271484375
1563708184.1039832,6140,-213.30081176757812
1563708184.2692919,6160,-213.31324768066406
1563708184.430069,6180,-213.3118896484375
1563708184.5927558,6200,-213.32266235351562
1563708184.7900903,6220,-213.3340301513672
1563708184.9720106,6240,-213.3409881591797
1563708185.1389046,6260,-213.33670043945312
1563708185.301458,6280,-213.3378143310547
1563708185.467496,6300,-213.33822631835938
1563708185.6307852,6320,-213.3429412841797
1563708185.7935333,6340,-213.3389892578125
1563708185.9577858,6360,-213.3470458984375
