Wall time,Step,Value
1563708134.4205346,20,30.43510627746582
1563708134.587216,40,19.152250289916992
1563708134.7513902,60,9.47020149230957
1563708134.9145343,80,0.8236382007598877
1563708135.0802217,100,-7.0208964347839355
1563708135.244922,120,-13.709928512573242
1563708135.4104722,140,-19.490385055541992
1563708135.574654,160,-24.437692642211914
1563708135.7391415,180,-28.875715255737305
1563708135.903643,200,-33.005088806152344
1563708136.0754557,220,-36.629661560058594
1563708136.2387028,240,-40.002113342285156
1563708136.403442,260,-42.880741119384766
1563708136.5667405,280,-45.55950927734375
1563708136.7295053,300,-48.10028839111328
1563708136.8933032,320,-50.41303634643555
1563708137.0587587,340,-52.41875457763672
1563708137.222195,360,-54.441959381103516
1563708137.387599,380,-56.28630828857422
1563708137.5555184,400,-58.139617919921875
1563708137.7217245,420,-59.85912322998047
1563708137.8840938,440,-61.396183013916016
1563708138.0506263,460,-62.87025833129883
1563708138.2134948,480,-64.25670623779297
1563708138.3771033,500,-65.62548828125
1563708138.5384023,520,-66.8911361694336
1563708138.7012956,540,-68.16322326660156
1563708138.8636456,560,-69.22321319580078
1563708139.0302336,580,-70.24455261230469
1563708139.1930664,600,-71.36071014404297
1563708139.358534,620,-72.42857360839844
1563708139.5213425,640,-73.46923828125
1563708139.6848624,660,-74.43104553222656
1563708139.8462994,680,-75.3326644897461
1563708140.0091488,700,-76.17221069335938
1563708140.1731367,720,-77.02135467529297
1563708140.3358257,740,-77.79456329345703
1563708140.5030017,760,-78.52210235595703
1563708140.6678007,780,-79.27213287353516
1563708140.8330288,800,-80.01610565185547
1563708140.9967868,820,-80.72268676757812
1563708141.1608891,840,-81.35575866699219
1563708141.3245156,860,-81.94945526123047
1563708141.4884257,880,-82.57420349121094
1563708141.6526532,900,-83.14326477050781
1563708141.814581,920,-83.70982360839844
1563708141.9774468,940,-84.21543884277344
1563708142.1423886,960,-84.75859069824219
1563708142.3054917,980,-85.24867248535156
1563708142.47143,1000,-85.78426361083984
1563708142.632722,1020,-86.26156616210938
1563708142.7931106,1040,-86.71318054199219
1563708142.9522057,1060,-87.1825942993164
1563708143.1125004,1080,-87.6166000366211
1563708143.2752173,1100,-88.0178451538086
1563708143.4410467,1120,-88.41670989990234
1563708143.6046631,1140,-88.86216735839844
1563708143.8025336,1160,-89.28813171386719
1563708143.9765944,1180,-89.69583129882812
1563708144.1428628,1200,-90.0741958618164
1563708144.3062305,1220,-90.45707702636719
1563708144.4669318,1240,-90.81815338134766
1563708144.631159,1260,-91.17413330078125
1563708144.7923489,1280,-91.52531433105469
1563708144.9558766,1300,-91.83751678466797
1563708145.1199725,1320,-92.16561126708984
1563708145.2867033,1340,-92.46990203857422
1563708145.448637,1360,-92.7987060546875
1563708145.6110904,1380,-93.06822967529297
1563708145.7747009,1400,-93.36067199707031
1563708145.9399254,1420,-93.65937805175781
1563708146.105281,1440,-93.92437744140625
1563708146.270251,1460,-94.18030548095703
1563708146.4317849,1480,-94.46002197265625
1563708146.5940425,1500,-94.7214584350586
1563708146.7592885,1520,-94.94666290283203
1563708146.924744,1540,-95.23174285888672
1563708147.086006,1560,-95.481201171875
1563708147.2486174,1580,-95.70481872558594
1563708147.4085033,1600,-95.93321228027344
1563708147.5731263,1620,-96.15888214111328
1563708147.7349844,1640,-96.37928009033203
1563708147.8975058,1660,-96.60911560058594
1563708148.0608678,1680,-96.84420776367188
1563708148.2220113,1700,-97.08078002929688
1563708148.3836088,1720,-97.28751373291016
1563708148.5447404,1740,-97.5155029296875
1563708148.707739,1760,-97.7072982788086
1563708148.871243,1780,-97.89310455322266
1563708149.0344048,1800,-98.1077651977539
1563708149.1973388,1820,-98.30451202392578
1563708149.3565676,1840,-98.5011215209961
1563708149.5182655,1860,-98.68106079101562
1563708149.68021,1880,-98.84798431396484
1563708149.842473,1900,-99.01204681396484
1563708150.003966,1920,-99.18746185302734
1563708150.1657512,1940,-99.33383178710938
1563708150.328125,1960,-99.4898910522461
1563708150.4900258,1980,-99.645751953125
1563708150.6520019,2000,-99.81646728515625
1563708150.8134408,2020,-99.9897232055664
1563708150.972573,2040,-100.14356231689453
1563708151.1355429,2060,-100.30880737304688
1563708151.2955415,2080,-100.44098663330078
1563708151.4561818,2100,-100.58863067626953
1563708151.6159265,2120,-100.71842956542969
1563708151.7770188,2140,-100.8598861694336
1563708151.9382374,2160,-100.98091125488281
1563708152.0995162,2180,-101.11019134521484
1563708152.2598221,2200,-101.23810577392578
1563708152.4214065,2220,-101.36001586914062
1563708152.5830123,2240,-101.49307250976562
1563708152.7466564,2260,-101.62149047851562
1563708152.9065638,2280,-101.75342559814453
1563708153.0685153,2300,-101.88664245605469
1563708153.22861,2320,-102.02190399169922
1563708153.3892198,2340,-102.15284729003906
1563708153.5486252,2360,-102.2761001586914
1563708153.709283,2380,-102.39189910888672
1563708153.871136,2400,-102.5135726928711
1563708154.0652533,2420,-102.63691711425781
1563708154.2413588,2440,-102.75102233886719
1563708154.4065738,2460,-102.86278533935547
1563708154.5697262,2480,-102.97115325927734
1563708154.7313192,2500,-103.07362365722656
1563708154.8928418,2520,-103.17691040039062
1563708155.0539913,2540,-103.29056549072266
1563708155.2176392,2560,-103.3786392211914
1563708155.3792646,2580,-103.48173522949219
1563708155.5403848,2600,-103.58631896972656
1563708155.70317,2620,-103.69561767578125
1563708155.8659918,2640,-103.81891632080078
1563708156.0286515,2660,-103.9139633178711
1563708156.194619,2680,-104.02903747558594
1563708156.357668,2700,-104.12098693847656
1563708156.5211732,2720,-104.22865295410156
1563708156.6842954,2740,-104.3231430053711
1563708156.8449016,2760,-104.41980743408203
1563708157.0051801,2780,-104.51786041259766
1563708157.167048,2800,-104.62956237792969
1563708157.3281958,2820,-104.72985076904297
1563708157.4904056,2840,-104.81193542480469
1563708157.6542687,2860,-104.90520477294922
1563708157.814823,2880,-104.98450469970703
1563708157.976945,2900,-105.06649780273438
1563708158.137425,2920,-105.17036437988281
1563708158.3001668,2940,-105.27625274658203
1563708158.4604282,2960,-105.36455535888672
1563708158.62186,2980,-105.45250701904297
1563708158.7820795,3000,-105.53646850585938
1563708158.946424,3020,-105.62733459472656
1563708159.1086607,3040,-105.71053314208984
1563708159.2702265,3060,-105.79444122314453
1563708159.431953,3080,-105.87777709960938
1563708159.5913272,3100,-105.95255279541016
1563708159.7520711,3120,-106.02901458740234
1563708159.9105186,3140,-106.10541534423828
1563708160.072983,3160,-106.177978515625
1563708160.2355318,3180,-106.25772094726562
1563708160.4055848,3200,-106.33927917480469
1563708160.5686579,3220,-106.41487884521484
1563708160.73073,3240,-106.49923706054688
1563708160.893602,3260,-106.57640075683594
1563708161.0551019,3280,-106.65619659423828
1563708161.2182548,3300,-106.72938537597656
1563708161.380228,3320,-106.79571533203125
1563708161.5398088,3340,-106.87997436523438
1563708161.7003646,3360,-106.96015930175781
1563708161.8598435,3380,-107.03329467773438
1563708162.0206995,3400,-107.10772705078125
1563708162.1817622,3420,-107.17760467529297
1563708162.3420413,3440,-107.2457504272461
1563708162.5026684,3460,-107.31681823730469
1563708162.6643908,3480,-107.392333984375
1563708162.8253684,3500,-107.45452117919922
1563708162.9866095,3520,-107.51063537597656
1563708163.151568,3540,-107.57525634765625
1563708163.312602,3560,-107.64198303222656
1563708163.4771361,3580,-107.71061706542969
1563708163.6400545,3600,-107.78121948242188
1563708163.8042984,3620,-107.8459701538086
1563708163.969194,3640,-107.90945434570312
1563708164.1297212,3660,-107.9715576171875
1563708164.318788,3680,-108.032470703125
1563708164.493632,3700,-108.0974349975586
1563708164.6592808,3720,-108.15973663330078
1563708164.8212628,3740,-108.22968292236328
1563708164.9862413,3760,-108.29888153076172
1563708165.150244,3780,-108.35745239257812
1563708165.311143,3800,-108.4281005859375
1563708165.4758062,3820,-108.49510192871094
1563708165.6403592,3840,-108.5561294555664
1563708165.8035352,3860,-108.63164520263672
1563708165.9684527,3880,-108.68283081054688
1563708166.13548,3900,-108.747314453125
1563708166.3019574,3920,-108.79991912841797
1563708166.4641595,3940,-108.85311889648438
1563708166.62719,3960,-108.90686798095703
1563708166.7905798,3980,-108.96439361572266
1563708166.9547076,4000,-109.0174560546875
1563708167.120688,4020,-109.0849838256836
1563708167.2838926,4040,-109.14115142822266
1563708167.449247,4060,-109.19569396972656
1563708167.6138556,4080,-109.26429748535156
1563708167.7752786,4100,-109.31580352783203
1563708167.9362392,4120,-109.37574768066406
1563708168.0954432,4140,-109.43807983398438
1563708168.2593997,4160,-109.48694610595703
1563708168.4205968,4180,-109.54585266113281
1563708168.5846062,4200,-109.5971908569336
