Wall time,Step,Value
1563712879.1599638,20,-26.403635025024414
1563712879.3460855,40,-26.029264450073242
1563712879.547604,60,-25.784215927124023
1563712879.8056607,80,-25.682130813598633
1563712879.981532,100,-25.567157745361328
1563712880.1008966,120,-25.558334350585938
1563712880.2218904,140,-25.514461517333984
1563712880.345881,160,-25.50374412536621
1563712880.467597,180,-25.50664520263672
1563712880.611781,200,-25.501773834228516
1563712880.7697027,220,-25.49440574645996
1563712880.9856758,240,-25.494003295898438
1563712881.2553759,260,-25.500041961669922
1563712881.478974,280,-25.494266510009766
1563712881.7105508,300,-25.505399703979492
1563712881.9504976,320,-25.502132415771484
1563712882.1580043,340,-25.491132736206055
1563712882.3763087,360,-25.495031356811523
1563712882.5409944,380,-25.500652313232422
1563712882.7412322,400,-25.490558624267578
1563712882.97196,420,-25.494140625
1563712883.1866188,440,-25.49923324584961
1563712883.3843281,460,-25.50096321105957
1563712883.5728643,480,-25.503950119018555
1563712883.7502341,500,-25.500425338745117
1563712883.9563777,520,-25.502805709838867
1563712884.1175683,540,-25.504653930664062
1563712884.2791934,560,-25.50729751586914
1563712884.446146,580,-25.50472068786621
1563712884.6251464,600,-25.5074520111084
1563712884.811115,620,-25.50824737548828
1563712884.99737,640,-25.515546798706055
1563712885.1715193,660,-25.512348175048828
1563712885.3603468,680,-25.51607894897461
1563712885.531176,700,-25.519882202148438
1563712885.7081301,720,-25.515483856201172
1563712885.8872223,740,-25.517906188964844
1563712886.0896246,760,-25.5178279876709
1563712886.2771285,780,-25.518869400024414
1563712886.503727,800,-25.51728057861328
1563712886.70094,820,-25.522615432739258
1563712886.9028585,840,-25.520633697509766
1563712887.206325,860,-25.524099349975586
1563712887.445847,880,-25.523733139038086
1563712887.6138353,900,-25.524450302124023
1563712887.7744217,920,-25.52560043334961
1563712887.938823,940,-25.526504516601562
1563712888.100505,960,-25.52735710144043
1563712888.259325,980,-25.52822494506836
1563712888.4252124,1000,-25.527387619018555
1563712888.591636,1020,-25.529220581054688
1563712888.7560298,1040,-25.530797958374023
1563712888.9458907,1060,-25.531635284423828
1563712889.0929582,1080,-25.5340518951416
1563712889.3201497,1100,-25.532712936401367
1563712889.506851,1120,-25.53384780883789
1563712889.6958964,1140,-25.534029006958008
1563712889.8923442,1160,-25.535308837890625
1563712890.0703762,1180,-25.536108016967773
1563712890.2313986,1200,-25.537076950073242
1563712890.4145246,1220,-25.536699295043945
1563712890.631512,1240,-25.53864097595215
1563712890.8081338,1260,-25.540781021118164
1563712890.9852006,1280,-25.539810180664062
1563712891.2009516,1300,-25.540740966796875
1563712891.3794415,1320,-25.54108428955078
1563712891.5423195,1340,-25.54275131225586
1563712891.7178838,1360,-25.54233741760254
1563712891.9242704,1380,-25.54216766357422
1563712892.0909407,1400,-25.54372787475586
1563712892.2152638,1420,-25.54242515563965
1563712892.3755429,1440,-25.544384002685547
1563712892.5980542,1460,-25.54496192932129
1563712892.7582457,1480,-25.544828414916992
1563712892.8793466,1500,-25.54576301574707
1563712893.0124726,1520,-25.54692268371582
1563712893.2108364,1540,-25.546491622924805
1563712893.3916287,1560,-25.546661376953125
1563712893.5326238,1580,-25.547466278076172
1563712893.6547768,1600,-25.5479679107666
1563712893.8369775,1620,-25.54912567138672
1563712894.0450673,1640,-25.550168991088867
1563712894.2194753,1660,-25.550174713134766
1563712894.3852458,1680,-25.550025939941406
1563712894.6006362,1700,-25.55003547668457
1563712894.79387,1720,-25.551734924316406
1563712894.9566748,1740,-25.551111221313477
1563712895.130064,1760,-25.55202293395996
1563712895.345926,1780,-25.552734375
1563712895.534357,1800,-25.5527400970459
1563712895.7048335,1820,-25.552894592285156
1563712895.9194536,1840,-25.552959442138672
1563712896.1128397,1860,-25.553869247436523
1563712896.280621,1880,-25.554628372192383
1563712896.4464645,1900,-25.55486297607422
1563712896.6620035,1920,-25.5555362701416
1563712896.8480763,1940,-25.554964065551758
1563712897.0093877,1960,-25.556468963623047
1563712897.1715631,1980,-25.555606842041016
1563712897.3318994,2000,-25.556930541992188
1563712897.498328,2020,-25.55690574645996
1563712897.662034,2040,-25.557662963867188
1563712897.8215306,2060,-25.55768394470215
1563712897.9817042,2080,-25.55794906616211
1563712898.1411269,2100,-25.55846405029297
1563712898.3010411,2120,-25.55875587463379
1563712898.4656374,2140,-25.559860229492188
1563712898.6283982,2160,-25.559343338012695
1563712898.8832092,2180,-25.55935287475586
1563712899.097023,2200,-25.56045913696289
1563712899.2722788,2220,-25.56022834777832
