Wall time,Step,Value
1563712879.1519797,20,36.59307098388672
1563712879.3382623,40,14.901643753051758
1563712879.5387232,60,0.15296471118927002
1563712879.793083,80,-10.585748672485352
1563712879.9770584,100,-18.77191162109375
1563712880.096757,120,-25.064905166625977
1563712880.2177472,140,-30.302953720092773
1563712880.3416784,160,-34.528934478759766
1563712880.4635005,180,-38.124610900878906
1563712880.6050234,200,-40.825592041015625
1563712880.7599547,220,-43.14647674560547
1563712880.9766517,240,-45.179893493652344
1563712881.2452958,260,-46.92661666870117
1563712881.470203,280,-48.79010772705078
1563712881.7024693,300,-49.95405578613281
1563712881.9408894,320,-51.10964584350586
1563712882.1484118,340,-52.308284759521484
1563712882.3677042,360,-53.31006622314453
1563712882.5256398,380,-54.35730743408203
1563712882.7327006,400,-55.042911529541016
1563712882.9652667,420,-55.68445587158203
1563712883.1759474,440,-56.40107345581055
1563712883.3712754,460,-57.123023986816406
1563712883.5645905,480,-57.77842712402344
1563712883.743483,500,-58.321815490722656
1563712883.950913,520,-58.87558364868164
1563712884.1120558,540,-59.239742279052734
1563712884.2735953,560,-59.74805450439453
1563712884.4395938,580,-60.2982063293457
1563712884.6177378,600,-60.739742279052734
1563712884.8034606,620,-61.15077209472656
1563712884.9902632,640,-61.52806091308594
1563712885.1659791,660,-61.852691650390625
1563712885.3529613,680,-62.12154769897461
1563712885.5247903,700,-62.46461486816406
1563712885.7013211,720,-62.64544677734375
1563712885.8802783,740,-62.92739486694336
1563712886.0783749,760,-63.144859313964844
1563712886.2695656,780,-63.35650634765625
1563712886.4928114,800,-63.501434326171875
1563712886.693428,820,-63.6806526184082
1563712886.8950298,840,-63.95582962036133
1563712887.1944451,860,-64.23426818847656
1563712887.439575,880,-64.40962982177734
1563712887.6081665,900,-64.57846069335938
1563712887.7689254,920,-64.665771484375
1563712887.933344,940,-64.91633605957031
1563712888.0950205,960,-65.10897827148438
1563712888.2538357,980,-65.25250244140625
1563712888.4196858,1000,-65.35551452636719
1563712888.5860436,1020,-65.46408081054688
1563712888.7493455,1040,-65.61614990234375
1563712888.9368043,1060,-65.68940734863281
1563712889.0870109,1080,-65.85499572753906
1563712889.312598,1100,-66.02981567382812
1563712889.5007977,1120,-66.15023040771484
1563712889.6820073,1140,-66.277587890625
1563712889.8861978,1160,-66.36578369140625
1563712890.0648005,1180,-66.40934753417969
1563712890.22582,1200,-66.49120330810547
1563712890.4039743,1220,-66.55294799804688
1563712890.6240416,1240,-66.67805480957031
1563712890.802553,1260,-66.7365493774414
1563712890.9783478,1280,-66.8170166015625
1563712891.1930099,1300,-66.89443969726562
1563712891.3737955,1320,-67.01130676269531
1563712891.5366697,1340,-67.05730438232422
1563712891.711993,1360,-67.13490295410156
1563712891.9157946,1380,-67.21473693847656
1563712892.0841563,1400,-67.30158233642578
1563712892.2111769,1420,-67.3626937866211
1563712892.3656974,1440,-67.45032501220703
1563712892.592659,1460,-67.53905487060547
1563712892.7540867,1480,-67.57420349121094
1563712892.875229,1500,-67.64527130126953
1563712893.005194,1520,-67.7890396118164
1563712893.2021477,1540,-67.85014343261719
1563712893.383259,1560,-67.90113830566406
1563712893.528225,1580,-67.9716567993164
1563712893.6506355,1600,-68.06748962402344
1563712893.8258789,1620,-68.15389251708984
1563712894.0355132,1640,-68.21864318847656
1563712894.2139225,1660,-68.27465057373047
1563712894.3796418,1680,-68.28118133544922
1563712894.5924356,1700,-68.33208465576172
1563712894.7850308,1720,-68.40851593017578
1563712894.9510674,1740,-68.43756866455078
1563712895.1234667,1760,-68.50083923339844
1563712895.3388789,1780,-68.55950164794922
1563712895.5284376,1800,-68.58930206298828
1563712895.6987624,1820,-68.6200180053711
1563712895.9092367,1840,-68.65872192382812
1563712896.105717,1860,-68.69307708740234
1563712896.2751386,1880,-68.74490356445312
1563712896.4392147,1900,-68.77690124511719
1563712896.6548803,1920,-68.76524353027344
1563712896.8419583,1940,-68.82975006103516
1563712897.003565,1960,-68.85968780517578
1563712897.165866,1980,-68.90267181396484
1563712897.3262908,2000,-68.90892028808594
1563712897.492516,2020,-68.92955017089844
1563712897.6564922,2040,-68.98615264892578
1563712897.8160102,2060,-69.00314331054688
1563712897.9761376,2080,-69.06871795654297
1563712898.135492,2100,-69.10440063476562
1563712898.2954953,2120,-69.16690826416016
1563712898.4601192,2140,-69.19691467285156
1563712898.6228678,2160,-69.2628173828125
1563712898.8720725,2180,-69.29292297363281
1563712899.0912943,2200,-69.3153305053711
1563712899.2652388,2220,-69.36951446533203
1563712899.515955,2240,-69.40592193603516
1563712899.8815048,2260,-69.42816162109375
1563712900.1809049,2280,-69.45668029785156
1563712900.3844469,2300,-69.48006439208984
1563712900.7121317,2320,-69.52252960205078
1563712901.0106006,2340,-69.5491714477539
1563712901.3239846,2360,-69.57662963867188
1563712901.5316908,2380,-69.61093139648438
1563712901.7592804,2400,-69.64132690429688
1563712901.9928975,2420,-69.65777587890625
1563712902.2733445,2440,-69.66527557373047
1563712902.580821,2460,-69.67206573486328
1563712902.8245366,2480,-69.70042419433594
1563712903.0410933,2500,-69.73382568359375
1563712903.2900546,2520,-69.77928161621094
1563712903.5855947,2540,-69.82565307617188
1563712903.8107448,2560,-69.86653137207031
1563712904.0371172,2580,-69.90557861328125
1563712904.270633,2600,-69.93682098388672
1563712904.476307,2620,-69.9463882446289
1563712904.672537,2640,-69.96217346191406
1563712904.8907635,2660,-69.98191833496094
1563712905.2011855,2680,-69.98028564453125
1563712905.466321,2700,-70.00389862060547
1563712905.7847204,2720,-70.01775360107422
1563712906.0156384,2740,-70.05499267578125
1563712906.330754,2760,-70.0849609375
1563712906.5659761,2780,-70.10765075683594
1563712906.7890568,2800,-70.10783386230469
1563712907.0766847,2820,-70.12588500976562
1563712907.3457234,2840,-70.14459228515625
1563712907.5596735,2860,-70.15890502929688
1563712907.7484646,2880,-70.18938446044922
1563712907.9623003,2900,-70.2315444946289
1563712908.1775703,2920,-70.22959899902344
1563712908.4248624,2940,-70.22508239746094
1563712908.6676714,2960,-70.2420654296875
1563712908.923837,2980,-70.2637939453125
1563712909.1466126,3000,-70.27574157714844
1563712909.3952522,3020,-70.29325866699219
1563712909.6011562,3040,-70.31000518798828
1563712909.8675187,3060,-70.33841705322266
1563712910.145397,3080,-70.35218811035156
1563712910.382209,3100,-70.37968444824219
1563712910.5554025,3120,-70.39430236816406
1563712910.8237588,3140,-70.40916442871094
1563712911.028915,3160,-70.42098236083984
1563712911.2750902,3180,-70.43759155273438
1563712911.5542126,3200,-70.43189239501953
1563712911.7327864,3220,-70.43688201904297
1563712911.9353955,3240,-70.4568862915039
1563712912.1313658,3260,-70.45882415771484
1563712912.3322704,3280,-70.4726333618164
1563712912.556238,3300,-70.48101806640625
1563712912.796664,3320,-70.51520538330078
1563712913.0895622,3340,-70.5267333984375
1563712913.2903368,3360,-70.52665710449219
1563712913.495997,3380,-70.52850341796875
1563712913.7478015,3400,-70.53138732910156
1563712913.9826236,3420,-70.5713882446289
1563712914.200609,3440,-70.58373260498047
1563712914.4759927,3460,-70.60043334960938
1563712914.6973717,3480,-70.60578918457031
1563712915.1124208,3500,-70.63943481445312
1563712915.3500314,3520,-70.64337158203125
1563712915.5846508,3540,-70.66976928710938
1563712915.7930079,3560,-70.67594146728516
1563712916.131387,3580,-70.697509765625
1563712916.370567,3600,-70.71209716796875
1563712916.6089058,3620,-70.72823333740234
1563712916.847219,3640,-70.73983001708984
1563712917.1722338,3660,-70.74394989013672
1563712917.3863611,3680,-70.75409698486328
1563712917.5905418,3700,-70.74650573730469
1563712917.805941,3720,-70.7691421508789
1563712918.1363926,3740,-70.77023315429688
1563712918.336745,3760,-70.7761001586914
1563712918.5406613,3780,-70.79230499267578
1563712918.7553053,3800,-70.78934478759766
1563712919.020779,3820,-70.79927825927734
1563712919.257544,3840,-70.8221206665039
1563712919.4811184,3860,-70.8157730102539
1563712919.681966,3880,-70.83821868896484
1563712919.8751159,3900,-70.83934783935547
1563712920.154282,3920,-70.84050750732422
1563712920.3495004,3940,-70.86737823486328
1563712920.5439115,3960,-70.88186645507812
1563712920.7327247,3980,-70.89163970947266
1563712920.925399,4000,-70.90414428710938
1563712921.1164231,4020,-70.90966033935547
1563712921.3041258,4040,-70.9123764038086
1563712921.508858,4060,-70.91903686523438
1563712921.7344415,4080,-70.92476654052734
1563712921.9470634,4100,-70.94329071044922
1563712922.1740298,4120,-70.94142150878906
1563712922.3773906,4140,-70.93248748779297
1563712922.5851257,4160,-70.94505310058594
1563712922.8002498,4180,-70.94342041015625
1563712923.0470963,4200,-70.9571762084961
1563712923.2796476,4220,-70.96641540527344
1563712923.5619292,4240,-70.9782485961914
1563712923.7593858,4260,-70.98442077636719
1563712923.9827278,4280,-70.98258209228516
1563712924.1871917,4300,-71.01127624511719
1563712924.4840736,4320,-71.01878356933594
1563712924.8395247,4340,-71.01200103759766
1563712925.1255612,4360,-71.03208923339844
1563712925.412361,4380,-71.05128479003906
1563712925.6524966,4400,-71.05316925048828
1563712925.9286447,4420,-71.0599365234375
1563712926.2360055,4440,-71.05805206298828
1563712926.4556077,4460,-71.06709289550781
1563712926.6592274,4480,-71.07183837890625
1563712926.8725498,4500,-71.0645980834961
1563712927.069574,4520,-71.06865692138672
1563712927.274939,4540,-71.07464599609375
1563712927.5364666,4560,-71.0931625366211
1563712927.823232,4580,-71.09349060058594
1563712928.0830498,4600,-71.11197662353516
1563712928.325332,4620,-71.12407684326172
1563712928.5855446,4640,-71.13016510009766
1563712929.0201828,4660,-71.13062286376953
1563712929.3738306,4680,-71.14811706542969
1563712929.6220496,4700,-71.14421844482422
1563712929.8797889,4720,-71.13536071777344
1563712930.1342232,4740,-71.14546966552734
1563712930.4445834,4760,-71.14807891845703
1563712930.7141578,4780,-71.15827178955078
1563712931.065098,4800,-71.16153717041016
1563712931.3919823,4820,-71.15444946289062
1563712931.689501,4840,-71.16393280029297
1563712931.9980266,4860,-71.17800903320312
1563712932.4007127,4880,-71.1926040649414
1563712932.7143023,4900,-71.19830322265625
