Wall time,Step,Value
1563712879.136397,20,-44.00977325439453
1563712879.3222098,40,-57.35329818725586
1563712879.5189712,60,-68.15159606933594
1563712879.773822,80,-77.65436553955078
1563712879.968487,100,-85.98371124267578
1563712880.0882313,120,-93.32601165771484
1563712880.2091992,140,-100.09291076660156
1563712880.3315947,160,-105.80194854736328
1563712880.4550905,180,-110.86981964111328
1563712880.5902746,200,-115.54475402832031
1563712880.7390735,220,-119.6108627319336
1563712880.9597542,240,-123.36186981201172
1563712881.2294636,260,-126.53004455566406
1563712881.4520304,280,-129.44677734375
1563712881.6859639,300,-132.19798278808594
1563712881.9209049,320,-134.72021484375
1563712882.1292624,340,-136.88511657714844
1563712882.3490255,360,-139.04925537109375
1563712882.5032918,380,-141.0376739501953
1563712882.7164376,400,-143.00885009765625
1563712882.9512625,420,-144.77322387695312
1563712883.160167,440,-146.31936645507812
1563712883.3516972,460,-147.77130126953125
1563712883.550823,480,-149.15150451660156
1563712883.7292154,500,-150.5064697265625
1563712883.939501,520,-151.7631378173828
1563712884.1007469,540,-153.0154571533203
1563712884.2613533,560,-154.06459045410156
1563712884.428249,580,-155.09066772460938
1563712884.6029427,600,-156.1954803466797
1563712884.7889953,620,-157.21939086914062
1563712884.9752972,640,-158.210693359375
1563712885.1544979,660,-159.1260223388672
1563712885.3381808,680,-159.9906463623047
1563712885.5133522,700,-160.80628967285156
1563712885.6877713,720,-161.63986206054688
1563712885.8674185,740,-162.40658569335938
1563712886.0624511,760,-163.12408447265625
1563712886.2540925,780,-163.86085510253906
1563712886.4747276,800,-164.58917236328125
1563712886.6791825,820,-165.2744598388672
1563712886.8774056,840,-165.90451049804688
1563712887.167985,860,-166.4952392578125
1563712887.4263446,880,-167.11351013183594
1563712887.5967183,900,-167.67221069335938
1563712887.7577944,920,-168.2221221923828
1563712887.9220455,940,-168.71347045898438
1563712888.0838358,960,-169.2561492919922
1563712888.242638,980,-169.7406005859375
1563712888.4084592,1000,-170.27256774902344
1563712888.5742872,1020,-170.74285888671875
1563712888.7355816,1040,-171.19598388671875
1563712888.921189,1060,-171.66368103027344
1563712889.0775595,1080,-172.095703125
1563712889.2933917,1100,-172.49696350097656
1563712889.4892046,1120,-172.89529418945312
1563712889.6657722,1140,-173.3365478515625
1563712889.8738139,1160,-173.75689697265625
1563712890.0534935,1180,-174.1515350341797
1563712890.214434,1200,-174.51437377929688
1563712890.386548,1220,-174.88333129882812
1563712890.6114116,1240,-175.23031616210938
1563712890.7910535,1260,-175.57826232910156
1563712890.9654553,1280,-175.91705322265625
1563712891.1805906,1300,-176.22140502929688
1563712891.3622372,1320,-176.5439453125
1563712891.525429,1340,-176.84251403808594
1563712891.6992562,1360,-177.16903686523438
1563712891.9016528,1380,-177.4405517578125
1563712892.071497,1400,-177.7401123046875
1563712892.2028413,1420,-178.04344177246094
1563712892.3538225,1440,-178.31309509277344
1563712892.574296,1460,-178.57582092285156
1563712892.7455206,1480,-178.8682403564453
1563712892.8668487,1500,-179.13722229003906
1563712892.995832,1520,-179.37237548828125
1563712893.1834662,1540,-179.674560546875
1563712893.3677416,1560,-179.93743896484375
1563712893.5191126,1580,-180.17282104492188
1563712893.6420019,1600,-180.4153594970703
1563712893.8086944,1620,-180.6516571044922
1563712894.0223951,1640,-180.8817138671875
1563712894.202501,1660,-181.12274169921875
1563712894.3657432,1680,-181.36599731445312
1563712894.5784013,1700,-181.609619140625
1563712894.7720842,1720,-181.82542419433594
1563712894.939774,1740,-182.06211853027344
1563712895.111169,1760,-182.25926208496094
1563712895.32395,1780,-182.45701599121094
1563712895.5158215,1800,-182.68284606933594
1563712895.68653,1820,-182.88528442382812
1563712895.893559,1840,-183.08541870117188
1563712896.0919042,1860,-183.2655792236328
1563712896.263772,1880,-183.43421936035156
