Wall time,Step,Value
1563721810.2624404,20,-98.45372772216797
1563721810.444376,40,-103.95051574707031
1563721810.6189015,60,-103.28629302978516
1563721810.8016412,80,-102.25066375732422
1563721810.9766545,100,-101.02100372314453
1563721811.158176,120,-100.25236511230469
1563721811.342075,140,-99.49112701416016
1563721811.5236566,160,-98.81356048583984
1563721811.7213333,180,-98.29044342041016
1563721811.9272473,200,-97.76976776123047
1563721812.121313,220,-97.35086822509766
1563721812.3424532,240,-97.0511245727539
1563721812.579491,260,-96.70913696289062
1563721812.8070807,280,-96.45932006835938
1563721813.02476,300,-96.1574478149414
1563721813.2044036,320,-95.9359130859375
1563721813.3901267,340,-95.71000671386719
1563721813.5675519,360,-95.5295181274414
1563721813.7427707,380,-95.36839294433594
1563721813.916994,400,-95.20852661132812
1563721814.0980287,420,-95.08322143554688
1563721814.2806327,440,-94.9339599609375
1563721814.4629362,460,-94.80838012695312
1563721814.6442466,480,-94.66312408447266
1563721814.8259437,500,-94.55189514160156
1563721815.0067036,520,-94.44770812988281
1563721815.2058978,540,-94.33097076416016
1563721815.4067218,560,-94.2192611694336
1563721815.578583,580,-94.11743927001953
1563721815.753036,600,-94.04022216796875
1563721815.9324136,620,-93.95863342285156
1563721816.111377,640,-93.89461517333984
1563721816.2907963,660,-93.82234191894531
1563721816.4724588,680,-93.7453384399414
1563721816.6482313,700,-93.67241668701172
1563721816.8277433,720,-93.60774993896484
1563721817.0061872,740,-93.5545425415039
1563721817.1858659,760,-93.49439239501953
1563721817.3683987,780,-93.44620513916016
1563721817.5506513,800,-93.39521789550781
1563721817.7285364,820,-93.35517883300781
1563721817.9131577,840,-93.30905151367188
1563721818.09326,860,-93.25780487060547
1563721818.2719934,880,-93.20809936523438
1563721818.4558585,900,-93.16038513183594
1563721818.6358125,920,-93.1119384765625
1563721818.8127525,940,-93.07259368896484
1563721818.9895356,960,-93.04582214355469
1563721819.168916,980,-93.00286102294922
1563721819.3513827,1000,-92.96930694580078
1563721819.5343623,1020,-92.93181610107422
1563721819.7126725,1040,-92.90276336669922
1563721819.8940554,1060,-92.86495971679688
1563721820.0743,1080,-92.83073425292969
1563721820.2545567,1100,-92.79882049560547
1563721820.4394522,1120,-92.75904083251953
1563721820.6208599,1140,-92.73033905029297
1563721820.8053324,1160,-92.70807647705078
1563721820.985718,1180,-92.67671966552734
1563721821.1671174,1200,-92.6495361328125
1563721821.3511214,1220,-92.62731170654297
1563721821.5401812,1240,-92.6067123413086
1563721821.7227566,1260,-92.58110809326172
1563721821.9071493,1280,-92.55715942382812
1563721822.0849311,1300,-92.53482818603516
1563721822.2687438,1320,-92.5158462524414
1563721822.4512048,1340,-92.49005126953125
1563721822.6358507,1360,-92.47283935546875
1563721822.8156118,1380,-92.4489974975586
1563721822.9949515,1400,-92.43347930908203
1563721823.1804893,1420,-92.41776275634766
1563721823.3618274,1440,-92.3975830078125
1563721823.5422478,1460,-92.37467193603516
1563721823.7176604,1480,-92.35507202148438
1563721823.9008102,1500,-92.3350601196289
1563721824.0813866,1520,-92.31356048583984
1563721824.2582529,1540,-92.30380249023438
1563721824.4404078,1560,-92.28325653076172
1563721824.6185043,1580,-92.26187133789062
1563721824.7974827,1600,-92.24823760986328
1563721824.9707975,1620,-92.2281494140625
1563721825.1481462,1640,-92.20750427246094
1563721825.3287375,1660,-92.1929702758789
1563721825.5295148,1680,-92.1781997680664
1563721825.7269995,1700,-92.16901397705078
1563721825.9086492,1720,-92.15657043457031
1563721826.0909343,1740,-92.14354705810547
1563721826.2718039,1760,-92.13066864013672
1563721826.4539492,1780,-92.11585235595703
1563721826.6327572,1800,-92.1102523803711
1563721826.8088796,1820,-92.09256744384766
1563721826.9861543,1840,-92.08062744140625
1563721827.1618793,1860,-92.0687026977539
1563721827.3432338,1880,-92.05669403076172
1563721827.5227187,1900,-92.03856658935547
1563721827.7055304,1920,-92.02587890625
1563721827.883484,1940,-92.01612091064453
1563721828.063356,1960,-92.00074005126953
1563721828.242074,1980,-91.9863510131836
1563721828.4202046,2000,-91.97908782958984
1563721828.6007504,2020,-91.968017578125
1563721828.7816195,2040,-91.95977783203125
1563721828.960252,2060,-91.94869995117188
1563721829.1399565,2080,-91.93978881835938
1563721829.319476,2100,-91.92864990234375
1563721829.5011358,2120,-91.91690826416016
1563721829.684293,2140,-91.90501403808594
1563721829.8665311,2160,-91.88984680175781
1563721830.0475504,2180,-91.87539672851562
1563721830.223906,2200,-91.86277770996094
1563721830.401824,2220,-91.85096740722656
1563721830.5815563,2240,-91.84207153320312
1563721830.7544646,2260,-91.8320541381836
1563721830.934591,2280,-91.82466888427734
1563721831.112573,2300,-91.81636810302734
1563721831.2949018,2320,-91.81111145019531
1563721831.4814103,2340,-91.80067443847656
1563721831.6627297,2360,-91.79439544677734
1563721831.8428304,2380,-91.78321838378906
1563721832.0229437,2400,-91.77588653564453
1563721832.2061884,2420,-91.77079010009766
1563721832.383839,2440,-91.76061248779297
1563721832.564721,2460,-91.75193786621094
1563721832.7417433,2480,-91.74676513671875
1563721832.9213026,2500,-91.74050903320312
1563721833.101931,2520,-91.73429107666016
1563721833.2750735,2540,-91.72723388671875
1563721833.4581127,2560,-91.7139892578125
1563721833.6394656,2580,-91.70542907714844
1563721833.816031,2600,-91.69689178466797
1563721833.9936352,2620,-91.69062042236328
1563721834.1679845,2640,-91.6844253540039
1563721834.3396292,2660,-91.67346954345703
1563721834.5156157,2680,-91.66767883300781
1563721834.695442,2700,-91.65966033935547
1563721834.8740015,2720,-91.65396118164062
1563721835.0484521,2740,-91.64983367919922
1563721835.2261162,2760,-91.64311981201172
1563721835.4077978,2780,-91.635986328125
1563721835.5899184,2800,-91.6288070678711
1563721835.789238,2820,-91.62372589111328
1563721835.971575,2840,-91.61351776123047
1563721836.1457484,2860,-91.60831451416016
1563721836.3228297,2880,-91.6002197265625
1563721836.498386,2900,-91.5936050415039
1563721836.6754513,2920,-91.58618927001953
1563721836.8457193,2940,-91.57997131347656
1563721837.024391,2960,-91.57492065429688
1563721837.1976144,2980,-91.56944274902344
1563721837.3747876,3000,-91.56004333496094
1563721837.5537384,3020,-91.55557250976562
1563721837.7271068,3040,-91.54927825927734
1563721837.9064243,3060,-91.5435562133789
1563721838.0873559,3080,-91.53602600097656
1563721838.2631981,3100,-91.53096771240234
1563721838.438834,3120,-91.52625274658203
1563721838.6159654,3140,-91.51811218261719
1563721838.788245,3160,-91.51060485839844
1563721838.9619753,3180,-91.50716400146484
1563721839.1363578,3200,-91.50242614746094
1563721839.313851,3220,-91.49676513671875
1563721839.4973211,3240,-91.49234771728516
1563721839.6758995,3260,-91.48517608642578
1563721839.8533027,3280,-91.47917938232422
1563721840.0286984,3300,-91.47294616699219
1563721840.2072687,3320,-91.46656036376953
1563721840.381498,3340,-91.4625244140625
1563721840.5584831,3360,-91.4573974609375
1563721840.738713,3380,-91.45036315917969
1563721840.9139984,3400,-91.4461898803711
1563721841.0925803,3420,-91.44329071044922
1563721841.2693326,3440,-91.43766784667969
1563721841.446378,3460,-91.43467712402344
1563721841.62476,3480,-91.42770385742188
1563721841.802871,3500,-91.42448425292969
1563721841.978795,3520,-91.41539001464844
1563721842.1543262,3540,-91.41154479980469
1563721842.3292916,3560,-91.4063949584961
1563721842.5054362,3580,-91.40373992919922
1563721842.687572,3600,-91.4012680053711
1563721842.8644075,3620,-91.39749908447266
1563721843.0377805,3640,-91.39381408691406
1563721843.2164023,3660,-91.38777923583984
1563721843.3933158,3680,-91.38321685791016
1563721843.5663133,3700,-91.37825012207031
1563721843.7465942,3720,-91.37437438964844
1563721843.9202313,3740,-91.36824798583984
1563721844.0946803,3760,-91.36512756347656
1563721844.2716808,3780,-91.35985565185547
1563721844.4480956,3800,-91.35528564453125
1563721844.6272044,3820,-91.35318756103516
1563721844.805805,3840,-91.34938049316406
1563721844.9826248,3860,-91.34765625
1563721845.157558,3880,-91.34132385253906
1563721845.3300679,3900,-91.3399429321289
1563721845.5043383,3920,-91.33415222167969
1563721845.6787686,3940,-91.3315200805664
1563721845.852006,3960,-91.32596588134766
1563721846.0475426,3980,-91.3217544555664
1563721846.2376935,4000,-91.31721496582031
1563721846.4195302,4020,-91.31382751464844
1563721846.5958374,4040,-91.31034851074219
1563721846.7750087,4060,-91.30461120605469
1563721846.9577396,4080,-91.30264282226562
1563721847.1394477,4100,-91.29884338378906
1563721847.3245597,4120,-91.29345703125
1563721847.5045424,4140,-91.29178619384766
1563721847.6857424,4160,-91.28679656982422
1563721847.8667579,4180,-91.28497314453125
1563721848.0495872,4200,-91.28304290771484
1563721848.234119,4220,-91.28003692626953
1563721848.415612,4240,-91.27530670166016
1563721848.5972264,4260,-91.2726058959961
1563721848.77959,4280,-91.266845703125
1563721848.9612513,4300,-91.26457977294922
1563721849.1485786,4320,-91.26117706298828
1563721849.3318965,4340,-91.25944519042969
1563721849.5127692,4360,-91.25618743896484
1563721849.6965578,4380,-91.25182342529297
1563721849.8812454,4400,-91.24944305419922
1563721850.066105,4420,-91.24824523925781
