Wall time,Step,Value
1563721810.255975,20,-260.65435791015625
1563721810.438744,40,-278.5009460449219
1563721810.6133716,60,-288.8904113769531
1563721810.796152,80,-294.9696960449219
1563721810.9710855,100,-299.0076599121094
1563721811.1524918,120,-301.9512023925781
1563721811.3364532,140,-304.6313781738281
1563721811.5177472,160,-306.5196533203125
1563721811.7147865,180,-308.05523681640625
1563721811.920484,200,-309.1021423339844
1563721812.1122482,220,-309.90301513671875
1563721812.3348541,240,-310.590576171875
1563721812.5737307,260,-311.1791076660156
1563721812.8012733,280,-311.9754333496094
1563721813.0192945,300,-312.1809387207031
1563721813.1988153,320,-312.5527038574219
1563721813.384525,340,-313.0408935546875
1563721813.5619605,360,-313.39227294921875
1563721813.7372499,380,-313.8237609863281
1563721813.911565,400,-313.95355224609375
1563721814.0925262,420,-314.11517333984375
1563721814.275194,440,-314.35577392578125
1563721814.4573486,460,-314.6355895996094
1563721814.638702,480,-314.8802185058594
1563721814.8203785,500,-315.074951171875
1563721815.001198,520,-315.2927551269531
1563721815.197955,540,-315.32928466796875
1563721815.4004507,560,-315.53570556640625
1563721815.573095,580,-315.7952880859375
1563721815.7475262,600,-315.97265625
1563721815.9269295,620,-316.13897705078125
1563721816.1057835,640,-316.2978210449219
1563721816.285267,660,-316.405029296875
1563721816.4669826,680,-316.46044921875
1563721816.6425705,700,-316.6080322265625
1563721816.8221233,720,-316.60986328125
1563721817.0006711,740,-316.70501708984375
1563721817.1802108,760,-316.76300048828125
1563721817.3627007,780,-316.8136901855469
1563721817.5451858,800,-316.8117370605469
1563721817.7229962,820,-316.8480224609375
1563721817.90767,840,-316.9794006347656
1563721818.0877428,860,-317.12457275390625
1563721818.26653,880,-317.177978515625
1563721818.4501586,900,-317.2183532714844
1563721818.6302323,920,-317.1912536621094
1563721818.8073215,940,-317.33001708984375
1563721818.9840064,960,-317.4187316894531
1563721819.1634123,980,-317.4613037109375
1563721819.3459365,1000,-317.47052001953125
1563721819.5287242,1020,-317.4812927246094
1563721819.7071433,1040,-317.5433654785156
1563721819.8869138,1060,-317.5279541015625
1563721820.0688267,1080,-317.6092834472656
1563721820.2482932,1100,-317.6981506347656
1563721820.4328523,1120,-317.734619140625
1563721820.6153257,1140,-317.783935546875
1563721820.7998297,1160,-317.8047790527344
1563721820.9802945,1180,-317.78076171875
1563721821.1616733,1200,-317.79608154296875
1563721821.345644,1220,-317.79022216796875
1563721821.5346918,1240,-317.8464050292969
1563721821.7172446,1260,-317.84027099609375
1563721821.9013772,1280,-317.8645935058594
1563721822.079489,1300,-317.8785705566406
1563721822.263275,1320,-317.94146728515625
1563721822.4457006,1340,-317.9290771484375
1563721822.6303396,1360,-317.9544677734375
1563721822.8100557,1380,-317.9772644042969
1563721822.9893994,1400,-318.01446533203125
1563721823.174991,1420,-318.0276184082031
1563721823.3562849,1440,-318.06561279296875
1563721823.5366418,1460,-318.10736083984375
1563721823.7121603,1480,-318.09814453125
1563721823.8953018,1500,-318.1225280761719
1563721824.0758495,1520,-318.2197265625
1563721824.252764,1540,-318.23626708984375
1563721824.434797,1560,-318.2484436035156
1563721824.6125546,1580,-318.2792663574219
1563721824.791985,1600,-318.3355407714844
1563721824.9652483,1620,-318.3843994140625
1563721825.1419663,1640,-318.4075622558594
1563721825.3230553,1660,-318.4263916015625
1563721825.5233562,1680,-318.4007873535156
1563721825.7214835,1700,-318.4211120605469
1563721825.9031541,1720,-318.46466064453125
1563721826.0852892,1740,-318.4587707519531
1563721826.2663405,1760,-318.489501953125
1563721826.448464,1780,-318.510986328125
1563721826.6272943,1800,-318.5131530761719
1563721826.803369,1820,-318.514892578125
1563721826.9806504,1840,-318.525634765625
1563721827.1563802,1860,-318.5311584472656
1563721827.3376505,1880,-318.5557556152344
1563721827.5172653,1900,-318.55517578125
1563721827.7000344,1920,-318.5148620605469
1563721827.877947,1940,-318.55401611328125
1563721828.0579221,1960,-318.5543518066406
1563721828.2365956,1980,-318.5725402832031
1563721828.4147162,2000,-318.55352783203125
1563721828.5952878,2020,-318.5514221191406
1563721828.7760458,2040,-318.58331298828125
1563721828.954639,2060,-318.57696533203125
1563721829.1336432,2080,-318.6168212890625
1563721829.313972,2100,-318.6274108886719
1563721829.49553,2120,-318.6654357910156
1563721829.6787767,2140,-318.6701965332031
1563721829.8609314,2160,-318.7121276855469
1563721830.0413697,2180,-318.7191467285156
1563721830.2182543,2200,-318.7203369140625
1563721830.3961246,2220,-318.7530822753906
1563721830.5759714,2240,-318.76812744140625
1563721830.7490075,2260,-318.7716979980469
1563721830.9289877,2280,-318.7821350097656
1563721831.1071177,2300,-318.7843933105469
1563721831.2894485,2320,-318.81048583984375
1563721831.4758792,2340,-318.8189392089844
1563721831.6572711,2360,-318.8294982910156
1563721831.8373356,2380,-318.84307861328125
1563721832.0174792,2400,-318.85638427734375
1563721832.2006943,2420,-318.85797119140625
1563721832.3783085,2440,-318.8493347167969
1563721832.5584865,2460,-318.8394470214844
1563721832.7360916,2480,-318.8542175292969
1563721832.9158452,2500,-318.8716735839844
1563721833.096424,2520,-318.89910888671875
1563721833.269627,2540,-318.9309387207031
1563721833.452686,2560,-318.9555358886719
1563721833.6338155,2580,-318.9775695800781
1563721833.8106456,2600,-318.99359130859375
1563721833.988135,2620,-318.987548828125
1563721834.1624975,2640,-318.989501953125
1563721834.3341174,2660,-318.9950866699219
1563721834.5099378,2680,-318.9783935546875
1563721834.6899724,2700,-318.98828125
1563721834.8672452,2720,-318.98968505859375
1563721835.0429518,2740,-319.0125427246094
1563721835.220673,2760,-319.03045654296875
1563721835.4023309,2780,-319.0389099121094
1563721835.5843477,2800,-319.0275573730469
1563721835.7802212,2820,-319.03216552734375
1563721835.966093,2840,-319.0370788574219
1563721836.140238,2860,-319.037841796875
1563721836.3172104,2880,-319.05645751953125
1563721836.4928803,2900,-319.08538818359375
1563721836.6700284,2920,-319.07208251953125
1563721836.8401759,2940,-319.0568542480469
1563721837.01893,2960,-319.0638122558594
1563721837.191922,2980,-319.0746154785156
1563721837.3693166,3000,-319.0744934082031
1563721837.5482488,3020,-319.0813903808594
1563721837.7214813,3040,-319.0882263183594
1563721837.900946,3060,-319.10479736328125
1563721838.0819423,3080,-319.1090087890625
1563721838.257724,3100,-319.12640380859375
1563721838.4326792,3120,-319.1296691894531
1563721838.6105003,3140,-319.1309509277344
1563721838.7827702,3160,-319.13189697265625
1563721838.9565396,3180,-319.1365051269531
1563721839.1308713,3200,-319.122802734375
1563721839.308295,3220,-319.1194152832031
1563721839.4918709,3240,-319.13079833984375
1563721839.669518,3260,-319.1234436035156
1563721839.8477914,3280,-319.12921142578125
1563721840.0230267,3300,-319.12860107421875
1563721840.201776,3320,-319.1518859863281
1563721840.375986,3340,-319.15423583984375
1563721840.5530107,3360,-319.1443786621094
1563721840.733243,3380,-319.1375732421875
1563721840.9083428,3400,-319.13287353515625
1563721841.0871058,3420,-319.16290283203125
1563721841.2638788,3440,-319.1649475097656
1563721841.4408228,3460,-319.1736145019531
1563721841.6192062,3480,-319.1689758300781
1563721841.7973788,3500,-319.19476318359375
1563721841.973278,3520,-319.18927001953125
1563721842.1488051,3540,-319.2056884765625
1563721842.3238037,3560,-319.2040710449219
1563721842.499875,3580,-319.2184753417969
1563721842.682078,3600,-319.2282409667969
1563721842.8589694,3620,-319.2353210449219
1563721843.032289,3640,-319.2389831542969
1563721843.2109175,3660,-319.2348937988281
1563721843.3878043,3680,-319.2373962402344
1563721843.5607643,3700,-319.2243347167969
1563721843.740995,3720,-319.24102783203125
1563721843.914779,3740,-319.23333740234375
1563721844.0891154,3760,-319.2317199707031
1563721844.26606,3780,-319.239013671875
1563721844.4419212,3800,-319.228515625
1563721844.6217468,3820,-319.2319641113281
1563721844.8002272,3840,-319.25
1563721844.9765835,3860,-319.23724365234375
1563721845.1519551,3880,-319.25274658203125
1563721845.3245463,3900,-319.249267578125
1563721845.4988163,3920,-319.244384765625
1563721845.6732738,3940,-319.2654113769531
1563721845.8465123,3960,-319.27276611328125
1563721846.042017,3980,-319.27569580078125
1563721846.2322445,4000,-319.2798156738281
1563721846.412123,4020,-319.27874755859375
1563721846.5903676,4040,-319.27496337890625
1563721846.7695432,4060,-319.2758483886719
1563721846.9521868,4080,-319.2760314941406
1563721847.1339414,4100,-319.28863525390625
1563721847.3190956,4120,-319.2802429199219
1563721847.499083,4140,-319.267333984375
1563721847.680236,4160,-319.2745666503906
1563721847.8613122,4180,-319.26556396484375
1563721848.0440764,4200,-319.2729797363281
1563721848.2286222,4220,-319.27667236328125
1563721848.4099689,4240,-319.28216552734375
1563721848.591753,4260,-319.2827453613281
1563721848.7741082,4280,-319.2740783691406
1563721848.955752,4300,-319.29705810546875
1563721849.1430154,4320,-319.3001708984375
1563721849.3255577,4340,-319.287841796875
1563721849.5071301,4360,-319.302001953125
1563721849.6910436,4380,-319.3168640136719
1563721849.8758106,4400,-319.3142395019531
1563721850.0605552,4420,-319.3167724609375
1563721850.2454112,4440,-319.3103332519531
1563721850.4253752,4460,-319.3138427734375
1563721850.6091874,4480,-319.31365966796875
1563721850.79012,4500,-319.3018493652344
1563721850.9738152,4520,-319.3015441894531
1563721851.1551874,4540,-319.3030700683594
1563721851.3332374,4560,-319.31622314453125
1563721851.515751,4580,-319.3114929199219
1563721851.695862,4600,-319.32464599609375
1563721851.878327,4620,-319.33209228515625
1563721852.059888,4640,-319.3331298828125
1563721852.2416337,4660,-319.33013916015625
1563721852.4188159,4680,-319.3428649902344
1563721852.599988,4700,-319.3354797363281
1563721852.784436,4720,-319.32275390625
1563721852.965868,4740,-319.32794189453125
1563721853.14878,4760,-319.32550048828125
1563721853.331304,4780,-319.3312683105469
1563721853.508159,4800,-319.33135986328125
1563721853.6948767,4820,-319.31964111328125
1563721853.8749113,4840,-319.3240661621094
1563721854.0587015,4860,-319.3331604003906
1563721854.2437112,4880,-319.34356689453125
1563721854.4260325,4900,-319.34417724609375
1563721854.6104276,4920,-319.3524475097656
1563721854.7885845,4940,-319.3522644042969
1563721854.9696052,4960,-319.3572692871094
1563721855.1545312,4980,-319.3572082519531
1563721855.3357503,5000,-319.3509826660156
