Wall time,Step,Value
1563721862.415939,180,143.93394470214844
1563721866.1285284,440,128.7177734375
1563721867.0237756,500,127.5033950805664
1563721876.5546913,1140,121.72801208496094
1563721877.2664182,1200,121.52783966064453
1563721882.167503,1660,120.37123107910156
1563721882.3948624,1680,120.33599853515625
1563721883.9617536,1820,120.06338500976562
1563721887.638475,2160,119.66043090820312
1563721895.148434,2860,118.99697875976562
1563721902.4568164,3420,118.65955352783203
1563721903.6944647,3500,118.61616516113281
1563721904.0050154,3520,118.60488891601562
1563721907.8779082,3780,118.44557189941406
1563721915.9505599,4320,118.2527847290039
1563721919.987967,4600,118.17667388916016
1563721922.315169,4760,118.14881134033203
1563721925.3857012,4960,118.0953598022461
1563721930.3503325,5300,123.70353698730469
1563721933.5430589,5520,123.88652801513672
1563721940.0839157,6020,123.70606231689453
1563721940.4974637,6060,123.74092864990234
1563721946.1254869,6580,123.65829467773438
1563721946.7612405,6640,123.6230239868164
1563721948.8952205,6840,123.6815414428711
1563721950.340764,6980,123.68183135986328
1563721952.826517,7220,123.7298583984375
1563721954.1574247,7340,123.7677230834961
1563721956.3799808,7520,123.74513244628906
1563721964.4298093,8060,123.70375061035156
1563721967.2234557,8240,123.70381927490234
1563721975.228887,8940,123.7344741821289
1563721977.222584,9120,123.70095825195312
1563721991.2344685,10140,105.20502471923828
1563721993.24274,10280,105.94615936279297
1563721994.3940277,10360,105.9719467163086
1563721996.106871,10480,105.77459716796875
1563722000.7344377,10800,105.52308654785156
1563722003.8892493,11020,105.62594604492188
1563722004.1773357,11040,105.64369201660156
1563722004.4669237,11060,105.63768768310547
1563722004.7505996,11080,105.66487884521484
1563722007.602114,11280,105.60884857177734
1563722010.4949474,11480,105.56726837158203
1563722012.5108154,11620,105.5215072631836
1563722014.8217607,11780,105.51033020019531
1563722018.860263,12060,105.43783569335938
1563722022.3558228,12300,105.45411682128906
1563722026.408779,12580,105.4407958984375
1563722035.6262717,13220,105.45561981201172
1563722036.485401,13280,105.43782043457031
1563722037.9229207,13380,105.46129608154297
1563722043.0770125,13800,105.4601821899414
1563722043.484969,13840,105.45172882080078
1563722044.498099,13940,105.44448852539062
1563722045.3124354,14020,105.44062042236328
1563722046.7468734,14160,105.44134521484375
1563722055.1440182,14860,105.46944427490234
1563722055.9959688,14920,105.47281646728516
1563722057.726936,15040,114.60478973388672
1563722060.305231,15220,113.83658599853516
1563722060.8769267,15260,113.75730895996094
1563722069.7741678,15880,113.31736755371094
1563722071.521727,16000,113.25042724609375
1563722076.1391697,16320,113.22649383544922
1563722077.8783922,16440,113.24806213378906
1563722083.6412385,16840,113.12191009521484
1563722085.9298284,17000,113.15533447265625
1563722086.2165997,17020,113.16314697265625
1563722087.6343637,17120,113.13774871826172
1563722093.2100081,17540,113.07820892333984
1563722094.70609,17680,113.10025787353516
1563722095.5567183,17740,113.10186767578125
1563722096.1225994,17780,113.09488677978516
1563722099.8243208,18040,113.1026840209961
1563722100.6902483,18100,113.0859375
1563722103.293265,18280,113.07618713378906
1563722108.1729512,18620,113.05159759521484
1563722111.0488038,18820,113.0459976196289
1563722120.8639135,19500,112.98128509521484
1563722130.0415146,20140,109.20447540283203
1563722130.6192095,20180,109.48151397705078
1563722140.1041255,20840,109.31880187988281
1563722140.6729949,20880,109.29395294189453
1563722144.1359303,21120,109.19027709960938
1563722148.7457287,21440,109.0916976928711
1563722154.0542564,21820,109.03479766845703
1563722162.505522,22640,109.09956359863281
1563722162.9237916,22680,109.0843734741211
1563722168.778426,23100,109.03318786621094
1563722169.355115,23140,109.02300262451172
1563722171.6651897,23300,109.0067367553711
1563722173.1077466,23400,108.99794006347656
1563722174.8603904,23520,108.99295043945312
1563722180.2568226,23900,108.97511291503906
1563722182.2632184,24040,108.97636413574219
1563722184.8691833,24220,108.96005249023438
1563722186.301626,24320,108.94230651855469
1563722188.0236776,24440,108.96060180664062
1563722191.480279,24680,108.94764709472656
1563722194.3543863,24880,108.97084045410156
1563722195.5424576,24960,108.97887420654297
1563722196.413778,25020,109.02363586425781
1563722197.85629,25120,108.16382598876953
1563722199.8918614,25260,109.0465316772461
1563722204.8580084,25600,108.97981262207031
1563722211.5748634,26060,108.87654113769531
1563722213.034997,26160,108.95150756835938
1563722213.6202233,26200,108.95223999023438
1563722214.7914762,26280,108.9683609008789
1563722218.9116838,26560,108.95386505126953
1563722233.0042963,27540,109.01524353027344
1563722243.9398043,28300,109.0989761352539
1563722244.7971349,28360,109.10152435302734
1563722246.2593288,28460,109.08909606933594
1563722247.1142762,28520,109.09542846679688
1563722257.6960604,29260,109.0994644165039
1563722259.9818892,29420,109.12395477294922
1563722262.8571112,29620,109.11427307128906
1563722271.7683096,30240,115.76988983154297
1563722274.3764024,30420,115.5726318359375
1563722280.2292962,30920,115.71834564208984
1563722288.4882112,31700,115.95237731933594
1563722291.200576,31960,115.88378143310547
1563722292.033172,32040,115.84828186035156
1563722295.7880273,32400,115.89546966552734
1563722296.4116068,32460,115.89183807373047
1563722296.619295,32480,115.8915023803711
1563722297.418723,32540,115.86019897460938
1563722297.9945912,32580,115.87176513671875
1563722301.7175398,32840,115.86554718017578
1563722303.4408867,32960,115.88932800292969
1563722303.7333748,32980,115.89836120605469
1563722304.871756,33060,115.88923645019531
1563722306.3112311,33160,115.87721252441406
1563722318.7875168,34020,115.86763763427734
1563722324.5040832,34420,115.83915710449219
1563722330.0610626,34800,115.84254455566406
1563722330.9328349,34860,115.84984588623047
1563722333.2670283,35020,111.9297866821289
1563722335.3257487,35160,112.297607421875
1563722342.710731,35660,111.76515197753906
1563722343.581159,35720,111.71316528320312
1563722347.663473,36000,111.76128387451172
1563722348.8799133,36080,111.66835021972656
1563722351.2039583,36240,111.68099975585938
1563722352.0779343,36300,111.71577453613281
1563722361.4482844,37020,111.66280364990234
1563722361.8652241,37060,111.64806365966797
1563722364.7874877,37340,111.67677307128906
1563722365.8262608,37440,111.69470977783203
1563722366.8703046,37540,111.68026733398438
1563722369.4300308,37760,111.69169616699219
1563722373.2334213,38020,111.67827606201172
1563722374.1085143,38080,111.68402099609375
1563722379.109372,38420,111.70731353759766
1563722382.6756365,38760,111.74685668945312
1563722383.9182446,38880,111.7303466796875
1563722385.384767,39020,111.72810363769531
1563722388.2924905,39300,111.7409439086914
1563722392.572628,39620,111.71934509277344
1563722405.545497,40520,109.8189468383789
1563722420.2251601,41540,110.05290985107422
1563722422.2997847,41740,110.0588150024414
1563722423.1420317,41820,110.02655029296875
1563722424.1950362,41920,110.06016540527344
1563722427.134434,42200,110.13973236083984
1563722427.54707,42240,110.15375518798828
1563722439.1752741,43340,110.26740264892578
1563722441.3968346,43520,110.2496566772461
1563722441.6928368,43540,110.25354766845703
1563722442.8799858,43620,110.25094604492188
1563722445.820512,43820,110.23633575439453
1563722446.7034302,43880,110.23588562011719
1563722447.2932887,43920,110.22857666015625
1563722447.585254,43940,110.21775817871094
1563722468.7950566,45400,107.73338317871094
1563722469.6582832,45460,107.66969299316406
1563722469.9436123,45480,107.7003173828125
1563722471.7031946,45600,107.62774658203125
1563722475.1410177,45840,107.69047546386719
1563722481.205269,46260,107.73224639892578
1563722481.9658055,46320,107.7311019897461
1563722483.8644202,46500,107.8034439086914
1563722499.6769147,48000,107.7684555053711
1563722503.5014298,48360,107.75394439697266
1563722513.9406292,49360,107.76979064941406
1563722514.150493,49380,107.77412414550781
1563722522.337584,50160,108.90019226074219
1563722522.6098447,50180,108.94933319091797
1563722523.6512127,50280,109.30862426757812
1563722526.1494443,50520,109.32438659667969
1563722529.51492,50840,109.39833068847656
1563722530.3485212,50920,109.40686798095703
1563722530.979844,50980,109.46348571777344
1563722533.2342215,51180,109.44197082519531
1563722539.6347277,51620,109.52205657958984
1563722542.2231455,51800,109.48136138916016
1563722542.797403,51840,109.47672271728516
1563722543.534061,51900,109.46755981445312
1563722544.5828705,52000,109.50235748291016
1563722547.716607,52300,109.51658630371094
1563722548.559749,52380,109.52913665771484
1563722555.3124201,53020,109.53128051757812
1563722557.9900582,53280,109.53551483154297
1563722558.3964715,53320,109.54312896728516
1563722560.05278,53480,109.5464096069336
1563722563.1599987,53780,109.55980682373047
1563722563.3624525,53800,109.56907653808594
1563722568.354596,54280,109.59355926513672
1563722568.7670016,54320,109.59486389160156
1563722569.7985039,54420,109.58782196044922
1563722571.852638,54620,109.60237121582031
1563722573.0945156,54740,109.60572052001953
1563722573.752888,54800,109.59404754638672
1563722575.2066698,54900,109.6057357788086
1563722585.49356,55600,109.13983917236328
1563722589.5788538,55880,109.36840057373047
1563722590.1568081,55920,109.30835723876953
1563722591.613127,56020,109.34562683105469
1563722595.1514604,56260,109.33847045898438
1563722596.8845232,56380,109.4090805053711
