Wall time,Step,Value
1563739964.6715224,20,-54.785133361816406
1563739964.8432145,40,-33.0511360168457
1563739965.016514,60,-25.14291763305664
1563739965.1874335,80,-21.218074798583984
1563739965.3613188,100,-18.426406860351562
1563739965.5350964,120,-16.676855087280273
1563739965.7069564,140,-15.36087703704834
1563739965.8841224,160,-14.3597993850708
1563739966.056052,180,-13.560901641845703
1563739966.2245748,200,-12.893491744995117
1563739966.3957968,220,-12.308710098266602
1563739966.567398,240,-11.807075500488281
1563739966.738745,260,-11.409282684326172
1563739966.9116566,280,-11.041833877563477
1563739967.0800498,300,-10.713347434997559
1563739967.2521105,320,-10.421587944030762
1563739967.4209008,340,-10.151616096496582
1563739967.5920374,360,-9.920915603637695
1563739967.765277,380,-9.687817573547363
1563739967.9494307,400,-9.487791061401367
1563739968.1452196,420,-9.306532859802246
1563739968.3157783,440,-9.130284309387207
1563739968.4859505,460,-8.97661018371582
1563739968.6569052,480,-8.837576866149902
1563739968.8280058,500,-8.714930534362793
1563739969.0003028,520,-8.605481147766113
1563739969.1678472,540,-8.493356704711914
1563739969.3359103,560,-8.393783569335938
1563739969.507831,580,-8.289730072021484
1563739969.6761663,600,-8.202781677246094
1563739969.8456507,620,-8.118462562561035
1563739970.0165133,640,-8.038162231445312
1563739970.1841576,660,-7.96122932434082
1563739970.3565795,680,-7.887681007385254
1563739970.5281045,700,-7.819273471832275
1563739970.6995642,720,-7.747535705566406
1563739970.8686962,740,-7.686235427856445
1563739971.0401075,760,-7.622751235961914
1563739971.2104511,780,-7.565185546875
1563739971.3797836,800,-7.5031256675720215
1563739971.549979,820,-7.445265769958496
1563739971.7188954,840,-7.392330646514893
1563739971.8915813,860,-7.339188575744629
1563739972.0626876,880,-7.288156986236572
1563739972.2293131,900,-7.236362934112549
1563739972.4035006,920,-7.189925670623779
1563739972.5724368,940,-7.14550256729126
1563739972.741835,960,-7.101767539978027
1563739972.912255,980,-7.058621406555176
1563739973.081822,1000,-7.015124797821045
1563739973.2552114,1020,-6.978909492492676
1563739973.428629,1040,-6.936848163604736
1563739973.6000168,1060,-6.8939337730407715
1563739973.767886,1080,-6.859173774719238
1563739973.933443,1100,-6.824431419372559
1563739974.1032193,1120,-6.7877116203308105
1563739974.273563,1140,-6.7520751953125
1563739974.4409695,1160,-6.718103885650635
1563739974.6133134,1180,-6.682446479797363
1563739974.785473,1200,-6.646142482757568
1563739974.9538434,1220,-6.608626842498779
1563739975.1237369,1240,-6.578131198883057
1563739975.2942338,1260,-6.550069332122803
1563739975.4649363,1280,-6.521494388580322
1563739975.632258,1300,-6.493764877319336
1563739975.799354,1320,-6.4680867195129395
1563739975.9651759,1340,-6.440446853637695
1563739976.1316738,1360,-6.417451858520508
1563739976.299195,1380,-6.388602256774902
1563739976.469528,1400,-6.360535144805908
1563739976.6411173,1420,-6.336543083190918
1563739976.8122058,1440,-6.312111854553223
1563739976.9861286,1460,-6.287344932556152
1563739977.1571832,1480,-6.265438556671143
1563739977.3272028,1500,-6.239154815673828
1563739977.4954882,1520,-6.216980457305908
1563739977.6660485,1540,-6.193875312805176
1563739977.8390994,1560,-6.167843818664551
1563739978.0070536,1580,-6.147202014923096
1563739978.1969972,1600,-6.128122329711914
1563739978.3752618,1620,-6.106523036956787
1563739978.5024765,1640,-6.088508605957031
1563739978.6378279,1660,-6.068236351013184
1563739978.765224,1680,-6.048535346984863
1563739978.8984163,1700,-6.032754898071289
1563739979.0283344,1720,-6.01255989074707
1563739979.155152,1740,-5.995121955871582
1563739979.2838528,1760,-5.977390766143799
1563739979.411898,1780,-5.96078634262085
1563739979.5442212,1800,-5.94248104095459
1563739979.674297,1820,-5.924622535705566
1563739979.8064697,1840,-5.905215263366699
1563739979.9352198,1860,-5.88707971572876
1563739980.0683186,1880,-5.8713059425354
1563739980.1971998,1900,-5.855643272399902
1563739980.3241227,1920,-5.840067386627197
1563739980.4525785,1940,-5.825579643249512
1563739980.5811622,1960,-5.810056686401367
1563739980.7121105,1980,-5.793367385864258
1563739980.8561487,2000,-5.778130531311035
1563739981.0593045,2020,-5.764759540557861
1563739981.260501,2040,-5.750190734863281
1563739981.4395423,2060,-5.7360310554504395
1563739981.583369,2080,-5.722469329833984
1563739981.7131248,2100,-5.70748233795166
1563739981.8476357,2120,-5.6925764083862305
1563739982.0837412,2140,-5.6789374351501465
1563739982.3147292,2160,-5.666743278503418
1563739982.5189416,2180,-5.652675151824951
1563739982.6772795,2200,-5.641772270202637
1563739982.816761,2220,-5.6302995681762695
1563739982.9678516,2240,-5.6198601722717285
1563739983.1002035,2260,-5.609148979187012
1563739983.2370012,2280,-5.597192764282227
1563739983.383351,2300,-5.58549690246582
1563739983.5104516,2320,-5.573488235473633
