Wall time,Step,Value
1563739964.664018,20,38.862152099609375
1563739964.8375351,40,-8.11857795715332
1563739965.0110233,60,-30.97285270690918
1563739965.1819496,80,-46.97144317626953
1563739965.3557434,100,-59.28396224975586
1563739965.5296354,120,-69.20513153076172
1563739965.701393,140,-78.00054931640625
1563739965.8778236,160,-85.26008605957031
1563739966.0505872,180,-91.63166046142578
1563739966.219049,200,-96.85704040527344
1563739966.3903525,220,-101.70543670654297
1563739966.561904,240,-106.03430938720703
1563739966.7332902,260,-109.76998901367188
1563739966.9061396,280,-113.45401000976562
1563739967.0745342,300,-116.37439727783203
1563739967.2464468,320,-119.10020446777344
1563739967.4153953,340,-121.77428436279297
1563739967.586457,360,-124.22932434082031
1563739967.7597618,380,-126.49028778076172
1563739967.9407861,400,-128.37742614746094
1563739968.139609,420,-130.14254760742188
1563739968.3101892,440,-131.86990356445312
1563739968.4796402,460,-133.5374298095703
1563739968.6514068,480,-135.0806121826172
1563739968.8223028,500,-136.4173583984375
1563739968.994854,520,-137.70799255371094
1563739969.1624033,540,-138.8149871826172
1563739969.3303318,560,-139.98802185058594
1563739969.5023594,580,-141.19142150878906
1563739969.6706748,600,-142.217041015625
1563739969.8401582,620,-143.1949920654297
1563739970.0108743,640,-144.08963012695312
1563739970.1785958,660,-144.9425048828125
1563739970.3510084,680,-145.69688415527344
1563739970.5226157,700,-146.50271606445312
1563739970.6940143,720,-147.14266967773438
1563739970.8630643,740,-147.849609375
1563739971.0345278,760,-148.47500610351562
1563739971.2049093,780,-149.08126831054688
1563739971.3743298,800,-149.60476684570312
1563739971.544442,820,-150.1532440185547
1563739971.7134347,840,-150.77639770507812
1563739971.886078,860,-151.38565063476562
1563739972.0572066,880,-151.88970947265625
1563739972.2237034,900,-152.37698364257812
1563739972.3980277,920,-152.76251220703125
1563739972.5668316,940,-153.3065948486328
1563739972.736295,960,-153.78079223632812
1563739972.906668,980,-154.1865997314453
1563739973.0756257,1000,-154.55645751953125
1563739973.249285,1020,-154.90478515625
1563739973.422878,1040,-155.30445861816406
1563739973.5944593,1060,-155.62615966796875
1563739973.7624319,1080,-156.01385498046875
1563739973.9279153,1100,-156.40188598632812
1563739974.0977242,1120,-156.7443389892578
1563739974.2680328,1140,-157.0779266357422
1563739974.4355075,1160,-157.37026977539062
1563739974.6077015,1180,-157.61459350585938
1563739974.7799098,1200,-157.89231872558594
