Wall time,Step,Value
1563739964.6514814,20,-2.5552563667297363
1563739964.826276,40,-2.806027889251709
1563739964.9996924,60,-5.604708194732666
1563739965.17068,80,-9.509171485900879
1563739965.3444357,100,-13.812372207641602
1563739965.5172215,120,-18.144973754882812
1563739965.6897867,140,-22.381380081176758
1563739965.8664463,160,-26.55860137939453
1563739966.0394073,180,-30.559846878051758
1563739966.2071345,200,-34.49550247192383
1563739966.3790221,220,-38.07950210571289
1563739966.5506692,240,-41.6076545715332
1563739966.7220752,260,-44.82146072387695
1563739966.8949838,280,-47.91358184814453
1563739967.063145,300,-50.88352584838867
1563739967.2353315,320,-53.72796630859375
1563739967.4040933,340,-56.26700210571289
1563739967.575033,360,-58.77305603027344
1563739967.7483106,380,-61.163291931152344
1563739967.9280615,400,-63.560890197753906
1563739968.1280606,420,-65.78291320800781
1563739968.2988522,440,-67.82888793945312
1563739968.4680588,460,-69.7808609008789
1563739968.6401598,480,-71.62360382080078
1563739968.8111088,500,-73.44221496582031
1563739968.9835575,520,-75.15740966796875
1563739969.1512356,540,-76.84873962402344
1563739969.3190894,560,-78.35729217529297
1563739969.4910338,580,-79.81867218017578
1563739969.6594477,600,-81.3499526977539
1563739969.8289635,620,-82.79762268066406
1563739969.999536,640,-84.21467590332031
1563739970.1671095,660,-85.52881622314453
1563739970.3398485,680,-86.79463958740234
1563739970.5113673,700,-87.99413299560547
1563739970.6826794,720,-89.18465423583984
1563739970.850674,740,-90.30916595458984
1563739971.023366,760,-91.38175201416016
1563739971.193592,780,-92.45901489257812
1563739971.363131,800,-93.52204895019531
1563739971.533296,820,-94.54673767089844
1563739971.7023363,840,-95.49002838134766
1563739971.8748112,860,-96.38299560546875
1563739972.0460737,880,-97.2825927734375
1563739972.2124548,900,-98.12805938720703
1563739972.3868175,920,-98.9731674194336
1563739972.5555637,940,-99.7470703125
1563739972.7251625,960,-100.54966735839844
1563739972.8954282,980,-101.29978942871094
1563739973.064504,1000,-102.09124755859375
1563739973.2379286,1020,-102.82550048828125
1563739973.4115298,1040,-103.5267333984375
1563739973.5831575,1060,-104.24056243896484
1563739973.7512872,1080,-104.91740417480469
1563739973.916796,1100,-105.55335235595703
1563739974.0865073,1120,-106.17829895019531
1563739974.256894,1140,-106.84253692626953
1563739974.4244041,1160,-107.4924545288086
1563739974.5965729,1180,-108.12405395507812
1563739974.7685091,1200,-108.72173309326172
1563739974.9371493,1220,-109.310546875
1563739975.10713,1240,-109.87872314453125
1563739975.2776175,1260,-110.43473052978516
1563739975.4473395,1280,-110.98099517822266
1563739975.6154847,1300,-111.49031829833984
1563739975.7825985,1320,-112.009521484375
1563739975.948291,1340,-112.49463653564453
1563739976.1148229,1360,-113.00725555419922
1563739976.2824311,1380,-113.45958709716797
1563739976.4529262,1400,-113.93099975585938
1563739976.6241853,1420,-114.40277099609375
1563739976.7954648,1440,-114.8379898071289
1563739976.9694455,1460,-115.26354217529297
1563739977.140526,1480,-115.71471405029297
1563739977.3103294,1500,-116.1393814086914
1563739977.4788094,1520,-116.5265884399414
1563739977.648654,1540,-116.9687271118164
1563739977.8223765,1560,-117.37848663330078
1563739977.9902453,1580,-117.7651596069336
1563739978.175474,1600,-118.15031433105469
1563739978.3626695,1620,-118.5260238647461
1563739978.4899528,1640,-118.89302825927734
1563739978.6251795,1660,-119.26915740966797
1563739978.7527719,1680,-119.65704345703125
1563739978.8858821,1700,-120.04352569580078
1563739979.0140107,1720,-120.39665222167969
1563739979.1427357,1740,-120.76959228515625
1563739979.2712376,1760,-121.10591125488281
1563739979.399375,1780,-121.43701934814453
1563739979.5315118,1800,-121.79793548583984
1563739979.661155,1820,-122.14108276367188
1563739979.7940495,1840,-122.47798919677734
1563739979.922517,1860,-122.7942123413086
1563739980.0554404,1880,-123.09587097167969
1563739980.1846707,1900,-123.3905258178711
1563739980.311576,1920,-123.69699096679688
1563739980.4382994,1940,-123.97846984863281
1563739980.5685806,1960,-124.26651000976562
1563739980.6986704,1980,-124.54920959472656
1563739980.8338892,2000,-124.8416519165039
1563739981.0356042,2020,-125.13492584228516
1563739981.2434845,2040,-125.40343475341797
1563739981.422924,2060,-125.68207550048828
1563739981.569494,2080,-125.9299545288086
1563739981.7000494,2100,-126.189453125
1563739981.8348784,2120,-126.43096160888672
1563739982.0528514,2140,-126.68391418457031
1563739982.2904947,2160,-126.91667938232422
1563739982.4988065,2180,-127.1578598022461
1563739982.664527,2200,-127.39930725097656
1563739982.8035774,2220,-127.63070678710938
1563739982.955107,2240,-127.87372589111328
1563739983.0872831,2260,-128.1114044189453
1563739983.223883,2280,-128.3542022705078
1563739983.37016,2300,-128.59620666503906
1563739983.497913,2320,-128.83547973632812
1563739983.6269107,2340,-129.0709228515625
1563739983.7540164,2360,-129.29812622070312
1563739983.8905754,2380,-129.513671875
1563739984.0313013,2400,-129.7351837158203
1563739984.1678548,2420,-129.96043395996094
1563739984.3020647,2440,-130.17222595214844
1563739984.4324002,2460,-130.38209533691406
1563739984.5703344,2480,-130.59266662597656
1563739984.7213192,2500,-130.79409790039062
1563739984.8513703,2520,-130.99388122558594
1563739984.979588,2540,-131.19940185546875
1563739985.1107705,2560,-131.37612915039062
1563739985.239761,2580,-131.56602478027344
1563739985.371299,2600,-131.75259399414062
1563739985.503529,2620,-131.94322204589844
1563739985.6404443,2640,-132.15042114257812
1563739985.7671988,2660,-132.33010864257812
1563739985.8978167,2680,-132.52830505371094
1563739986.0258443,2700,-132.70130920410156
1563739986.1552017,2720,-132.89193725585938
1563739986.2833042,2740,-133.0674285888672
1563739986.4125016,2760,-133.24383544921875
1563739986.545243,2780,-133.4193878173828
1563739986.6771479,2800,-133.60580444335938
1563739986.8065567,2820,-133.7807159423828
1563739986.9346914,2840,-133.93751525878906
1563739987.066402,2860,-134.10482788085938
1563739987.199516,2880,-134.2567138671875
1563739987.3272676,2900,-134.40818786621094
1563739987.45555,2920,-134.58151245117188
1563739987.5825217,2940,-134.75865173339844
1563739987.7167265,2960,-134.91810607910156
1563739987.8445473,2980,-135.0770263671875
1563739987.9715853,3000,-135.22891235351562
1563739988.0994256,3020,-135.38864135742188
1563739988.2266486,3040,-135.53884887695312
1563739988.3551233,3060,-135.6863250732422
1563739988.536052,3080,-135.83396911621094
1563739988.7149332,3100,-135.97122192382812
1563739988.8842018,3120,-136.11082458496094
1563739989.0529048,3140,-136.250244140625
1563739989.221715,3160,-136.3888702392578
1563739989.3889952,3180,-136.53274536132812
1563739989.5576308,3200,-136.68031311035156
1563739989.728711,3220,-136.81874084472656
1563739989.8949397,3240,-136.9630889892578
1563739990.063121,3260,-137.09690856933594
1563739990.231976,3280,-137.23281860351562
1563739990.4011981,3300,-137.36070251464844
1563739990.5691195,3320,-137.47987365722656
1563739990.7375145,3340,-137.6165008544922
1563739990.9058795,3360,-137.74949645996094
1563739991.0743062,3380,-137.87551879882812
1563739991.2439995,3400,-138.00413513183594
1563739991.4135919,3420,-138.1259002685547
1563739991.5805879,3440,-138.24224853515625
1563739991.7480843,3460,-138.36328125
1563739991.9150372,3480,-138.4915313720703
1563739992.080565,3500,-138.60704040527344
1563739992.2489927,3520,-138.71656799316406
1563739992.4152265,3540,-138.83160400390625
1563739992.585521,3560,-138.94790649414062
1563739992.7515337,3580,-139.0663604736328
1563739992.9191382,3600,-139.1867218017578
1563739993.0885062,3620,-139.30198669433594
1563739993.258541,3640,-139.4149169921875
1563739993.426117,3660,-139.52755737304688
1563739993.6008205,3680,-139.63937377929688
1563739993.767606,3700,-139.75535583496094
1563739993.9370873,3720,-139.8661651611328
1563739994.104318,3740,-139.981689453125
1563739994.276112,3760,-140.0964813232422
1563739994.4452627,3780,-140.19883728027344
1563739994.6152709,3800,-140.31419372558594
1563739994.7856152,3820,-140.42529296875
1563739994.9545634,3840,-140.52989196777344
1563739995.125085,3860,-140.64810180664062
1563739995.2929482,3880,-140.7410888671875
1563739995.4604793,3900,-140.84918212890625
1563739995.6310232,3920,-140.94729614257812
1563739995.8011854,3940,-141.04248046875
1563739995.9694796,3960,-141.1374053955078
1563739996.135355,3980,-141.23641967773438
1563739996.3028677,4000,-141.33010864257812
1563739996.4712923,4020,-141.43798828125
1563739996.638621,4040,-141.5337371826172
1563739996.805144,4060,-141.62571716308594
1563739996.9709723,4080,-141.73231506347656
1563739997.1382494,4100,-141.8213653564453
1563739997.305705,4120,-141.919189453125
1563739997.4715831,4140,-142.02008056640625
1563739997.6387289,4160,-142.1078338623047
1563739997.8098693,4180,-142.20608520507812
1563739997.9761045,4200,-142.2998504638672
1563739998.1440227,4220,-142.39578247070312
1563739998.311612,4240,-142.48460388183594
1563739998.4801006,4260,-142.5789337158203
1563739998.64679,4280,-142.66830444335938
1563739998.8464675,4300,-142.75042724609375
1563739998.9756043,4320,-142.8369903564453
1563739999.1027129,4340,-142.93789672851562
1563739999.2308416,4360,-143.02174377441406
1563739999.3584332,4380,-143.10626220703125
1563739999.4863658,4400,-143.19422912597656
1563739999.614492,4420,-143.28456115722656
1563739999.7427244,4440,-143.36990356445312
1563739999.8701575,4460,-143.45571899414062
1563739999.9968014,4480,-143.53805541992188
1563740000.1236448,4500,-143.6280975341797
1563740000.2527573,4520,-143.7071990966797
1563740000.3800805,4540,-143.79022216796875
1563740000.506985,4560,-143.8688201904297
1563740000.633124,4580,-143.9540252685547
1563740000.7708473,4600,-144.03564453125
1563740000.9439049,4620,-144.12124633789062
1563740001.1136603,4640,-144.1982879638672
1563740001.280631,4660,-144.28189086914062
1563740001.454049,4680,-144.36021423339844
1563740001.6290154,4700,-144.44866943359375
1563740001.823509,4720,-144.5314483642578
1563740002.0028331,4740,-144.6103515625
1563740002.1858513,4760,-144.67483520507812
1563740002.4223673,4780,-144.74925231933594
1563740002.631171,4800,-144.8282470703125
1563740002.8622108,4820,-144.91075134277344
1563740003.0619116,4840,-144.9814453125
1563740003.2311006,4860,-145.0526885986328
1563740003.405301,4880,-145.1159210205078
1563740003.5721204,4900,-145.19168090820312
1563740003.7401342,4920,-145.2615966796875
1563740003.9068859,4940,-145.33038330078125
1563740004.0741813,4960,-145.4031524658203
1563740004.2420623,4980,-145.47312927246094
1563740004.4082496,5000,-145.54270935058594
