Wall time,Step,Value
1563132139.3811526,80,2.9814109802246094
1563132139.926537,120,2.7226364612579346
1563132140.8198953,180,2.5472025871276855
1563132141.139365,200,2.5114004611968994
1563132141.9812915,260,2.4270589351654053
1563132143.3644538,360,2.3493964672088623
1563132143.944361,400,2.327174425125122
1563132144.684064,440,2.309239149093628
1563132145.5210528,500,2.290064811706543
1563132146.3686187,560,2.2741732597351074
1563132146.9318795,600,2.268721103668213
1563132148.8989348,740,2.2410175800323486
1563132149.4408803,780,2.2333199977874756
1563132150.0336003,820,2.2245559692382812
1563132150.3030279,840,2.221993923187256
1563132150.640071,860,2.21976637840271
1563132151.5268214,940,2.210721731185913
1563132152.396185,1000,2.2024691104888916
1563132152.9568405,1040,2.1984927654266357
1563132153.5805948,1080,2.1953861713409424
1563132153.8531296,1100,2.194282054901123
1563132154.4029253,1140,2.190338134765625
1563132154.6773283,1160,2.1882243156433105
1563132155.2301226,1200,2.183652877807617
1563132158.3018527,1420,2.163562059402466
1563132160.7811701,1640,2.1499452590942383
1563132160.9565768,1660,2.1485369205474854
1563132161.2288222,1680,2.146486282348633
1563132162.1322112,1760,2.1407694816589355
1563132163.0043788,1820,2.1363446712493896
1563132163.2942953,1840,2.1347522735595703
1563132164.138195,1920,2.1282875537872314
1563132164.777793,1980,2.1240487098693848
1563132165.3807771,2040,2.118682384490967
1563132166.4716055,2120,2.112563133239746
1563132166.6916146,2140,2.111020803451538
1563132166.9599707,2160,2.1099982261657715
1563132167.2231715,2180,2.1085453033447266
1563132168.8523953,2300,2.0969455242156982
1563132169.4040031,2340,2.0933568477630615
1563132172.4227815,2540,2.073448419570923
1563132173.3150907,2600,2.0680222511291504
1563132174.1074357,2660,2.061344623565674
1563132174.3677642,2680,2.058988094329834
1563132174.9320567,2720,2.0543930530548096
1563132176.053591,2800,2.0459485054016113
1563132176.327513,2820,2.0437073707580566
1563132176.846928,2860,2.0391042232513428
1563132178.174722,2960,2.027942657470703
1563132180.7901378,3200,1.999870777130127
1563132180.9689252,3220,1.9974991083145142
1563132181.2249272,3240,1.9952261447906494
1563132182.06672,3340,1.9829860925674438
